,BAB,CS,GermanBond10Y,GermanyEq,Gold,JapanBond10Y,JapanEq,Oil,TRCommodity,UKEq,UMD_Large,UMD_Small,USBond10Y,USEq
1796-08-31,,,,,,,,,,,,,,
1836-08-31,,,,0.4575790865026449,,,,,,,,,0.5424209134973551,
1837-08-31,,,,0.5074307140482823,,,,,,,,,0.4925692859517177,
1838-08-31,,,,0.5206105661996419,,,,,,,,,0.47938943380035814,
1839-08-31,,,,0.4446107746479948,,,,,,,,,0.5553892253520052,
1840-08-31,,,,0.47092674286114566,,,,,,,,,0.5290732571388543,
1841-08-31,,,,0.48941192415767665,,,,,,,,,0.5105880758423234,
1842-08-31,,,,0.5076514359707898,,,,,,,,,0.49234856402921023,
1843-08-31,,,,0.49717962323135034,,,,,,,,,0.5028203767686497,
1844-08-31,,,,0.50349696481042,,,,,,,,,0.49650303518958006,
1845-08-31,,,,0.5066602459004632,,,,,,,,,0.4933397540995368,
1846-08-31,,,,0.5135114453935672,,,,,,,,,0.4864885546064328,
1847-08-31,,,,0.51603327364275,,,,,,,,,0.48396672635725,
1848-08-31,,,,0.49264603590426737,,,,,,,,,0.5073539640957326,
1849-08-31,,,,0.4931877729730775,,,,,,,,,0.5068122270269225,
1850-08-31,,,,0.49492652074940535,,,,,,,,,0.5050734792505946,
1851-08-31,,,,0.49705504638713016,,,,,,,,,0.5029449536128698,
1852-08-31,,,,0.5000864031702241,,,,,,,,,0.4999135968297759,
1853-08-31,,,,0.5036500738673118,,,,,,,,,0.49634992613268825,
1854-08-31,,,,0.4927772295387711,,,,,,,,,0.5072227704612289,
1855-08-31,,,,0.4939457657480172,,,,,,,,,0.5060542342519828,
1856-08-31,,,,0.4964737143393756,,,,,,,,,0.5035262856606244,
1857-08-31,,,,0.4986762860568601,,,,,,,,,0.5013237139431399,
1858-08-31,,,,0.5014970192302723,,,,,,,,,0.49850298076972765,
1859-08-31,,,,0.4923692406655118,,,,,,,,,0.5076307593344882,
1860-08-31,,,,0.35722817047104083,,,,0.1412341343946887,,,,,0.5015376951342705,
1861-08-31,,,,0.4147119687635148,,,,0.15539139675407687,,,,,0.42989663448240834,
1862-08-31,,,,0.24023074772330116,0.4790022975963914,,,0.03531891256295453,,,,,0.24544804211735288,
1863-08-31,,,,0.35033220821764344,0.2433394760485513,,,0.05140016187531096,,,,,0.3549281538584943,
1864-08-31,,,,0.39127834092652447,0.17481080928805365,,,0.0510223778108646,,,,,0.3828884719745573,
1865-08-31,,,,0.37636758737700154,0.1531414135370954,,,0.055361290549300106,,,,,0.41512970853660297,
1866-08-31,,,,0.3715517165644813,0.168540315116592,,,0.0555478489944655,,,,,0.40436011932446114,
1867-08-31,,,,0.35751692013351055,0.17699626105167174,,,0.057549724431764336,,,,,0.40793709438305337,
1868-08-31,,,,0.35318913260013346,0.19003515660194453,,,0.05725048953517355,,,,,0.3995252212627485,
1869-08-31,,,,0.34629915323557137,0.20106311758814768,,,0.05828919083676153,,,,,0.39434853833951944,
1870-08-31,,,,,,,,,,,,,,
1871-08-31,,,,0.1271614138995006,0.08155710475328884,0.19659011469129078,,0.03866010995561804,,,,,0.17551843326653857,0.38051282343376336
1872-08-31,,,,0.1313255356612209,0.08850671142726153,0.24654765504918935,,0.041862732839291254,,,,,0.18540246359947724,0.30635490142355976
1873-08-31,,,,0.11808231553834617,0.08414043450966194,0.24675141013415441,,0.03968249877537352,,,,,0.1722259362675399,0.33911740477492414
1874-08-31,,,,0.19544577344928815,0.14489327166583432,0.20665615721539662,,0.04827300841136794,,,,,0.22632046852286078,0.1784113207352522
1875-08-31,,,,0.185717628969512,0.1431391058252049,0.2095602534086915,,0.04611795043279596,,,,,0.2224211447733698,0.1930439165904258
1876-08-31,,,,0.1767828491388662,0.14154708871666818,0.2112015151917349,,0.04496727691386099,,,,,0.22042118866065535,0.20508008137821437
1877-08-31,,,,0.1810499045015482,0.16422014354829725,0.2829146084658997,,0.04893297466078422,,,,,0.1497036085223076,0.173178760301163
1878-08-31,,,,0.18093262741658095,0.16637212831957313,0.28446734859485023,,0.04855790820662927,,,,,0.1508794350258794,0.16879055243648708
1879-08-31,,,,0.17711034682347618,0.16727969629359568,0.2900255658765288,,0.04846997913540122,,,,,0.14851076546911568,0.16860364640188247
1880-08-31,,,,0.17501410872423467,0.17340368946733828,0.29108298622915285,,0.049214158026292774,,,,,0.15138500534532515,0.15990005220765627
1881-08-31,,,,0.1744521230932789,0.17537977841636412,0.29439578933241867,,0.04957550528288337,,,,,0.14945407301589847,0.15674273085915652
1882-08-31,,,,0.17335278981742253,0.17813759628065395,0.28986141407213245,,0.0498203432002536,,,,,0.14907448928754075,0.15975336734199674
1883-08-31,,,,0.17417940869302462,0.17905296364305323,0.2916958577268275,,0.048508154268457906,,,,,0.14751566039958275,0.15904795526905402
1884-08-31,,,,0.17415249383833864,0.18155521719199275,0.2945209840742737,,0.04886639400667465,,,,,0.14644228745460722,0.15446262343411307
1885-08-31,,,,0.1733259697403239,0.18349005931069196,0.2934163106750918,,0.04877099803915357,,,,,0.1461426919115776,0.15485397032316114
1886-08-31,,,,0.17352888619089138,0.18535534179538002,0.294420942509777,,0.048970486535711635,,,,,0.14572458320563303,0.1519997597626071
1887-08-31,,,,,,,,,,,,,,
1888-08-31,,,,0.12336666675923284,0.12899239468033186,0.406492737344404,0.012956059738705646,0.04991895197202276,,,,,0.1346853695718778,0.14358781993342504
1889-08-31,,,,0.12241028241469085,0.13052180205311162,0.40030720367776884,0.016417010887456136,0.05023008221801213,,,,,0.13472527700205694,0.14538834174690352
