,CPI,GDP,VIX,UMD,HML,SMB
1947-01-01,,,,,,
1947-02-01,0.006517690875232907,0.0,,,,
1947-03-01,0.01757631822386685,0.0,,,,
1947-04-01,0.0,-0.002666914568721923,,,,
1947-05-01,-0.002272727272727315,0.0,,,,
1947-06-01,0.005922551252847352,0.0,,,,
1947-07-01,0.006793478260869623,-0.0020649632404977636,,,,
1947-08-01,0.007647323436797082,0.0,,,,
1947-09-01,0.019642857142857295,0.0,,,,
1947-10-01,0.0030647985989491477,0.01564208095867836,,,,
1947-11-01,0.006547359231776406,0.0,,,,
1947-12-01,0.015177797051170838,0.0,,,,
1948-01-01,0.011533532678342562,0.015042555044686434,,,,
1948-02-01,-0.0004222972972972583,0.0,,,,
1948-03-01,-0.007182087029995898,0.0,,,,
1948-04-01,0.013617021276595809,0.01650657688791579,,,,
1948-05-01,0.007976490344248521,0.0,,,,
1948-06-01,0.005830903790087438,0.0,,,,
1948-07-01,0.010351966873705987,0.0057289726237355065,,,,
1948-08-01,0.0012295081967212962,0.0,,,,
1948-09-01,-0.002865329512893977,0.0,,,,
1948-10-01,-0.0020525451559935126,0.001117416409468719,,,,
1948-11-01,-0.006170300287947295,0.0,,,,
1948-12-01,-0.004552980132450313,0.0,,,,
1949-01-01,-0.0016632016632016633,-0.013779513728693793,,,,
1949-02-01,-0.004164931278633932,0.0,,,,
1949-03-01,0.0,0.0,,,,
1949-04-01,0.0004182350480970154,-0.003410965813402722,,,,
1949-05-01,-0.0004180602006689238,0.0,,,,
1949-06-01,0.0004182350480970154,0.0,,,,
1949-07-01,-0.009197324414715768,0.010324154824197684,,,,
1949-08-01,0.0,0.0,,,,
1949-09-01,0.0021097046413502962,0.0,,,,
1949-10-01,-0.003368421052631465,-0.008392750339143773,,,,
1949-11-01,0.0012674271229402567,0.0,,,,
1949-12-01,-0.0037974683544304,0.0,,,,
1950-01-01,-0.004235493434985083,0.03930120618327693,,,,
1950-02-01,0.004253509145044632,0.0,,,,
1950-03-01,0.0012706480304955914,0.0,,,,
1950-04-01,0.0004230118443315778,0.030498354136992756,,,,
1950-05-01,0.0050739957716703366,0.0,,,,
1950-06-01,0.00462768195204033,0.0,,,,
1950-07-01,0.007956448911222935,0.03864389495568976,,,,
1950-08-01,0.00540091400083087,0.0,,,,
1950-09-01,0.005785123966942196,0.0,,,,
1950-10-01,0.006573541495480617,0.01914762964857175,,,,
1950-11-01,0.004081632653061273,0.0,,,,
1950-12-01,0.015447154471544655,0.0,,,,
1951-01-01,0.01601281024819845,0.013581639841714566,,,,
1951-02-01,0.01773049645390068,0.0,,,,
1951-03-01,0.0019357336430507743,0.0,,,,
1951-04-01,0.0015455950540959051,0.017327355670914146,,,,
1951-05-01,0.002700617283950546,0.0,,,,
1951-06-01,-0.002308580223162715,0.0,,,,
1951-07-01,-0.0007713073659852965,0.020609826910658047,,,,
1951-08-01,-0.001929756850636899,0.0,,,,
1951-09-01,0.006573859242072766,0.0,,,,
1951-10-01,0.0049942374183633564,0.0022024060608427654,,,,
1951-11-01,0.006116207951070374,0.0,,,,
1951-12-01,0.005699088145896702,0.0,,,,
1952-01-01,-0.000755572346052169,0.010685486277146383,,,,
1952-02-01,-0.0015122873345935206,0.0,,,,
1952-03-01,-0.0007572889057174681,0.0,,,,
1952-04-01,0.0026525198938991412,0.0021538643207179575,,,,
1952-05-01,0.00037792894935750887,0.0,,,,
1952-06-01,0.002266717038156507,0.0,,,,
1952-07-01,0.005653976630229929,0.007218712171379371,,,,
1952-08-01,0.0003748125937033109,0.0,,,,
1952-09-01,-0.0022480329711502822,0.0,,,,
1952-10-01,0.0022530980097634767,0.032841977522236165,,,,
