Date,GermanBond10Y,GermanEq,Gold,JapanBond10Y,JapanEq,Oil,TRCommodity,UKEq,USBond10Y,USBond5Y,USBondInt,USEq,Momentum (UMD),Value (HML FF),Size (SMB),CS_Liquid
1997-12-31,0.019733852878075053,0.0747752872685219,-0.022237196765498735,0.010374613534594346,-0.06989772722425858,-0.0773653946680607,-0.05041399887782427,0.053464112025662036,0.013076393695165445,-0.019085281980742774,-0.011904761904761973,0.015731630730583923,0.03712775918378686,0.036267301887898284,-0.029185451763505288,
1998-01-31,0.025032490495762172,0.0448715864519198,0.05048242591316354,-0.017611604876829223,0.07562797139969302,-0.024929178470254776,-0.009829529452693997,0.05212770634591468,0.021292748271525497,-0.05749342681858005,-0.02409638554216864,0.010150139628824384,-0.001435255887549336,-0.01823643789903906,-0.006028997319400098,0.0038018476979813087
1998-02-28,0.009441554055479084,0.05985541807401362,-0.024438248318845446,0.012234559517683374,-0.0028712380256322723,-0.10284718187100528,-0.05581488731616724,0.05783938288784474,-0.0020716168090262332,0.03905523526129806,-0.0017636684303350414,0.0704492593952748,-0.010085124709818927,-0.014517545415665079,-0.0015255004876063571,0.00886262924667669
1998-03-31,0.002520184509840595,0.08290691897723756,0.012104909213181081,0.0042000137154054595,-0.004423967958953945,0.020077720207253957,-0.0015180243238294144,0.03661772514786188,0.0009711594029067072,0.007875425093968103,0.005300353356890497,0.04994568014180345,0.015249049709578966,0.010915396879059847,-0.008193812352368268,0.02766828096257079
1998-04-30,-0.00427280197175528,0.0010326996497609375,0.03222591362126237,0.013900484923393908,-0.01869478334034491,-0.012063492063491998,-0.025958045929413864,0.0026351532047463877,0.0039818378704949975,0.0005327650506126158,0.02987697715289972,0.009076469253460395,0.007796336167918749,-0.002178322610892902,0.007083306898538311,0.02053043033535462
1998-05-31,0.01717021375206862,0.08283068687381978,-0.055037013196008955,0.026346128076472075,0.010333770977912327,-0.02249357326478152,-0.0415477303922166,0.004729274755377544,0.013703332687416747,-0.015974440894568676,-0.027303754266211677,-0.01882626489768391,0.021238544079436483,0.03399555872754645,-0.033794849856957465,0.036333046964490245
1998-06-30,0.011662510646736735,0.05690072019835424,0.009196185286103553,-0.015377217644694685,-0.00790311173974545,-0.05982905982905984,-0.03318484535494537,-0.020955078580072617,0.013621963687125982,-0.016233766233766156,-0.02280701754385961,0.039438316077658575,0.07711457688183199,-0.01378415040894887,-0.038898415011870524,0.01046595972505271
1998-07-31,0.006217348348901419,-0.00464700422528086,-0.025143435707053574,0.006637322312010863,0.04707465293247548,-0.002097902097902171,-0.049549077181208045,-0.003185758130244354,6.699163786527684e-05,0.008250825082508184,0.0,-0.011615395470260248,0.038189965380339475,-0.010036832552314356,-0.03903412213678048,0.02016818212893945
1998-08-31,0.028692664605196816,-0.17722586865468193,-0.053487969534360524,0.024450985573745365,-0.10387289484209716,-0.0686755430974072,-0.06080708335631935,-0.10746251901474368,0.03884623805407217,-0.11056555737406792,-0.06463195691202883,-0.14579671089616042,0.02373172960422809,0.04158295203352402,-0.06002473301557021,0.06982978153062591
1998-09-30,0.025392249720528115,-0.07455064179018212,0.0747988295537676,0.050885352104610204,-0.04820375487877837,0.21820917983446209,0.07534618716868113,-0.03933891449915128,0.05136770274475033,-0.13637292987119198,-0.1612284069097888,0.06243732241350486,-0.016361169841402567,-0.030929361745038908,-0.005217865303550284,0.01146329240791788
1998-10-31,-0.0019748109324388974,0.043939978880196184,-0.005274800068062024,-0.005553673858420316,-0.03040098975326011,-0.10562075355157508,-0.03900040966816887,0.06824830612804811,-0.011343053536142844,0.0011837121212121549,0.01830663615560635,0.08025170837225315,-0.04381205992031645,-0.04317378018098794,-0.031736295346975085,-0.029541091224376093
1998-11-30,0.009637273587365103,0.07424782803768815,0.008210742387957604,-0.01944648094010637,0.11120600946696846,-0.21477900552486195,-0.0912552931480376,0.04870950161847998,-0.0036647149866347872,0.06360841806573658,0.08764044943820215,0.059126034204993294,0.0018031385348318274,-0.032100833257829864,0.015769247303840217,-0.004722399489470175
1998-12-31,0.017375585618554457,-0.004212043633573526,-0.02341364099083809,-0.08005100862928671,-0.03709696537546181,0.0677220756376431,-0.01930354015511626,0.017914848225073055,0.01077687061134669,0.005558025789239585,-0.04132231404958686,0.056375308302467175,0.08972777824742528,-0.04286656100667996,0.001494092879150033,0.01958835598871489
1999-01-31,0.019622903446815165,0.0313856521164424,-0.008339124391938957,0.0025508503053834897,0.02028245349799951,0.05518945634266892,-0.0093434846733369,0.00823510083454626,0.0031188353131332835,0.005969489277028561,0.012931034482758674,0.04100941239637823,0.0229846020390021,-0.03016219561390543,0.010921474673525111,-0.007106247838254198
1999-02-28,-0.012288276994130487,-0.04915917339693299,0.005781359495445004,0.011349160695583782,-0.008068620982185082,-0.03903200624512104,-0.043810305561591045,0.04801664903583358,-0.04240351965143774,0.1439560439560441,0.12127659574468064,-0.032282516957894525,-0.004736848365559765,0.019562636927736188,-0.036471889718069916,-0.012667447825949307
1999-03-31,0.0009187307667599676,-0.0057828598978217904,-0.02647622365441571,0.02645367049602587,0.13897599635098934,0.36230706742485785,0.13118272330182879,0.024563016948563332,0.0074073581314448855,-0.021517771373679162,0.00569259962049351,0.038794182487705164,-0.023685901086870298,-0.023480073356877518,-0.03403311455147484,-0.010424351284600841
