,mean,std,skew,kurtosis,ir,adj sr,cer,mdd,turnover,sspw
risk_parity MC_Iter_0,0.022686191879512554,0.13759836367453174,16.452562076850118,280.05902828532993,0.04759460301252251,0.18767317584340867,-0.02571377264935049,-0.11537507526578772,4.59516094452908,1.6646205620653436
risk_parity MC_Iter_1,0.038807646170598994,0.13597003256252008,13.136931829397536,181.31917070424396,0.08239170257206786,0.2910240973056275,-0.008924128461980162,-0.07455947327714374,3.9253515689396665,1.6343140697390812
risk_parity MC_Iter_2,0.020398234225780486,0.08107328200997226,13.614788654401778,207.14464933547683,0.07263136343609973,0.25976825781661445,-0.00946108135802225,-0.08422992682444153,4.943429979644291,1.6417216462276127
risk_parity MC_Iter_3,0.022886412424187333,0.10256015161062101,11.731617507879365,140.47290395247126,0.06441817882668271,0.2568658629293132,-0.012891464623403018,-0.12173440691045745,3.5569241424934335,1.6352620375928246
risk_parity MC_Iter_4,0.02504179241422734,0.123526983111295,16.428502242722093,279.44696825355453,0.05852116366477864,0.21928485699599234,-0.0178465809206399,-0.09535318305773577,5.486832540967222,1.6574207029469412
risk_parity MC_Iter_5,0.04489983569351251,0.15287325022967485,12.954295464820495,176.98346124200899,0.0847857037947225,0.29628393092237226,-0.010155510260164664,-0.06039868897549627,4.994975315312643,1.6597084304846956
risk_parity MC_Iter_6,0.041208479431060194,0.15629135726397572,12.805770277976494,171.63446553548027,0.07611337923258797,0.2832461236758231,-0.015432003102063354,-0.08032693032338645,4.221086245504803,1.6531631052228362
risk_parity MC_Iter_7,0.026379841398524756,0.13550489253978268,16.622111612740678,283.46776972354394,0.05619874030801665,0.213450284407536,-0.02116252245480232,-0.1049058271989064,4.158118307325159,1.6617070999480748
risk_parity MC_Iter_8,0.03164981798274064,0.17359389345605544,12.862290109281263,184.65829557889435,0.052631548749621504,0.2077074752686472,-0.033552441785107856,-0.18286537151739934,4.009454335461892,1.625924460147108
risk_parity MC_Iter_9,0.0276049492085408,0.13258355112971273,16.20735736814334,274.22234219791414,0.06010445760697852,0.22330619012250402,-0.018762647836706926,-0.09473188350385509,4.931244232504077,1.6612221433870056
risk_parity MC_Iter_10,0.042569532861402526,0.16081539075260223,12.570671890878085,163.90209725642526,0.07641535782671867,0.28716329099213556,-0.01622285199296569,-0.11220075479283964,5.053051565801751,1.6704014728525756
risk_parity MC_Iter_11,0.03405718220360312,0.14886397504390175,12.866104760118937,174.7649671762445,0.06604325629250314,0.2553170635597229,-0.01918354239520399,-0.1570390431150247,4.792841311192417,1.660959837206845
risk_parity MC_Iter_12,0.021858678464739725,0.09065497362206021,14.246165856468703,219.48905835682805,0.06960519313788617,0.25271069451484696,-0.010468807898884921,-0.10244397529854465,4.835743998782286,1.6702271932837072
risk_parity MC_Iter_13,0.03752029013041962,0.15226075141274126,12.867194023266558,174.39253679290704,0.0711356978271746,0.26978465038166477,-0.01725471450073927,-0.16613224963964057,5.745364430082843,1.669709289478852
risk_parity MC_Iter_14,0.03234231038114363,0.12039579010897734,12.03706544834795,151.2008152639717,0.07754773479980408,0.2936999283393293,-0.009400409032803762,-0.07690082947282784,4.790488917794362,1.6366390738754633
risk_parity MC_Iter_15,0.03688902294703661,0.1589275729755294,12.334445187976396,157.65492507912532,0.06700501030080279,0.2622838592628367,-0.020997937230801723,-0.10642750861573269,4.797866709597758,1.64373881369274
risk_parity MC_Iter_16,0.016644217519368957,0.0899841416213839,14.086325911114116,219.59938898577443,0.05339576114250965,0.20817817162371002,-0.015501501095636958,-0.14360127725098504,3.5909701678157235,1.6594256573165322
risk_parity MC_Iter_17,0.006657932122750531,0.038495975090652126,7.790911629467651,112.1234935063183,0.04992676369755982,0.18826964414504352,-0.015564978024519633,-0.06736523568572672,3.651507159417332,1.6337724501095754
risk_parity MC_Iter_18,0.03863625747514375,0.14901562933348977,13.124506034181511,182.71825886188282,0.0748466914293692,0.27580615217630877,-0.01467222920334028,-0.09710020139135822,4.83031001524512,1.6630819177744864
risk_parity MC_Iter_19,0.016717683203671306,0.08209532084612782,13.599706559870178,205.73421912925434,0.05878507324404814,0.2262973314606587,-0.013391779353571697,-0.09111436715296439,3.605180061491027,1.6322225290441812
risk_parity MC_Iter_20,0.006842054595251255,0.03565639509899364,10.524111493466645,165.36401194756127,0.05539345819187873,0.20867390311462738,-0.015065013171932052,-0.09432028250366054,4.684631279757612,1.6327336393256868
risk_parity MC_Iter_21,0.018241255560219025,0.07725613728608023,13.386519717884017,200.5562610994509,0.06816024058419215,0.25214272323409165,-0.010711510562329489,-0.06901066225900732,4.231757723132538,1.6419338251639768
risk_parity MC_Iter_22,0.039588631191358456,0.1574149137314617,13.528647900311316,194.21229545435662,0.07259955976652614,0.2673733358959627,-0.01758055140626683,-0.08256596601335398,4.894391194268151,1.6548989249687869
risk_parity MC_Iter_23,0.02992304718487942,0.14610481031375044,16.705526282800573,285.59096668579,0.05912221271176755,0.2204403725222268,-0.02209687621034608,-0.11553601815373671,4.5537502339750136,1.667811970911389
risk_parity MC_Iter_24,0.038859236890522515,0.15775257488065053,12.690393506307815,169.19579136542737,0.0711094284712004,0.27116431471522473,-0.018469575431690363,-0.117437812343677,4.055576787924839,1.6688040222302705
risk_parity MC_Iter_25,0.04175846641768038,0.14959826667146617,13.000565018110436,176.67468795163074,0.08058001728101649,0.29057556767945214,-0.011810995668980282,-0.0649615437911657,4.5387605758902625,1.648524824717542
