,0
GermanBond10Y,0.10192633123999817
GermanEq,0.6150175254476666
Gold,0.06083077448130347
JapanBond10Y,0.02362135913476937
JapanEq,0.11653070556948152
Oil,0.0629976705622125
TRCommodity,0.13705827755575928
UKEq,0.6813613587799664
USBond10Y,0.10771079982647858
USBond5Y,0.08953628174543493
Momentum,0.1585164773470482
Value,0.02536809685864061
Size,0.05224720960581308
CS_Liquid,0.16540305992065896
