,mean,std,skew,kurtosis,ir,adj sr,cer,mdd,turnover,sspw
hrp MC_Iter_0,0.024460867242942774,0.14542332086132523,16.77555787806177,288.0106253845566,0.048556477061859366,0.19079416276298128,-0.02726104613256115,-0.11723796547975052,14.234882941317291,2.0644291680433198
hrp MC_Iter_1,0.04560869520121546,0.15636690241052736,13.331663447195188,186.95240848626776,0.0842000194602452,0.2905143293275806,-0.011067217052979628,-0.07471080568653854,11.488488412987447,1.925736087299898
hrp MC_Iter_2,0.019545443765790548,0.06778310986999402,12.681580760262872,183.12151367808895,0.08324025882888325,0.2841530686236274,-0.007346381209680973,-0.07108453874341691,11.341519754369532,1.9054242579954364
hrp MC_Iter_3,0.016150087943315114,0.08507775644751914,12.905602975759443,180.70083827391176,0.05479844562697684,0.216687942813432,-0.014707249019899962,-0.11849062163172608,13.388072503114326,2.0376925840684263
hrp MC_Iter_4,0.021550091077233807,0.10504225210789618,15.762357647282837,263.015837535807,0.05922355354549091,0.22217711212935354,-0.015000721014614422,-0.08547418308528398,10.554362818303515,1.885922446967299
hrp MC_Iter_5,0.03827869029439205,0.13423731892649252,12.556907051898936,170.07864889349395,0.08231769049929959,0.2939117245372362,-0.008750796394467252,-0.0878813336365587,13.020172123445972,1.9682350082448912
hrp MC_Iter_6,0.01965354767575131,0.08225319128190725,11.889480311087246,157.74294910577385,0.06897593190175766,0.26411655488132585,-0.010494833538335725,-0.11742451051213465,14.218521034968688,2.047028443571651
hrp MC_Iter_7,0.02047455107100383,0.10978725361168525,16.44176458425873,279.6592566758302,0.05383588341772049,0.20703041600849947,-0.017605310512390917,-0.10984585965760707,12.213752573900676,1.9547801745444713
hrp MC_Iter_8,0.037536682564704896,0.20230472565349383,14.997253841857175,241.15281552493232,0.053562302396082534,0.2082110043743654,-0.04385412046789822,-0.1794294779409391,11.989643667331773,1.948683167938928
hrp MC_Iter_9,0.03283273918840404,0.16569695105624618,16.77499602743168,287.7894437846762,0.057200783381412976,0.21560367635724823,-0.028350480195600023,-0.08744855114035721,11.059501033264215,1.9445169624052536
hrp MC_Iter_10,0.040018683918483657,0.1596859260873105,12.702853358744724,170.12376094384513,0.07234450304755792,0.273974012886808,-0.018230708567059332,-0.09962490464735163,13.117421818941043,2.0215845831625954
hrp MC_Iter_11,0.0359346887623394,0.16082339677356403,14.133837977147346,212.5031569202969,0.06450212670048648,0.24366948369680883,-0.022861558662341405,-0.13828499767515612,13.15876699868667,2.0319031564349905
