,mean,std,skew,kurtosis,ir,adj sr,cer,mdd,turnover,sspw
all-weather (star) MC_Iter_0,0.007006480943939922,0.02244551595774007,-0.06981071795721873,-0.07072023022008711,0.09011139834503915,0.31491301190501764,-0.013749220835973824,-0.0787167624619286,34.875,11.86875
all-weather (star) MC_Iter_1,0.004870711607878992,0.018456006400689014,0.08824154595507673,-0.1806531451733595,0.07618405078817557,0.26736955715615895,-0.015640224650514418,-0.08501846498181853,34.875,11.86875
all-weather (star) MC_Iter_2,0.013033402472990275,0.07371229180662886,16.57702682440574,300.66663115422386,0.05104195136123124,0.1946298447071157,-0.015116850472088132,-0.09029920374440403,34.875,11.86875
all-weather (star) MC_Iter_3,-0.005593657512608094,0.019924240280650242,0.12065239620216885,0.15724393904691913,-0.08104448714652467,-0.28178242047957247,-0.02618912053874972,-0.192454220780235,34.875,11.86875
all-weather (star) MC_Iter_4,0.0030445439671014907,0.027333613800291295,0.1272544393632542,-0.1906105499901556,0.03215396785453528,0.11183145528087907,-0.018076145697973722,-0.19764263883580546,34.875,11.86875
all-weather (star) MC_Iter_5,0.004890666931528415,0.019599606070846227,0.05931868091227669,-0.08836162198318309,0.07203277094519735,0.2521437196357361,-0.015685549905670115,-0.08411430857975777,34.875,11.86875
all-weather (star) MC_Iter_6,0.00445307763580377,0.01921870118509691,-0.11998800556899271,-0.1358936443435952,0.06688759940102695,0.2322571946935711,-0.016100960077059297,-0.10105885405425485,34.875,11.86875
all-weather (star) MC_Iter_7,0.005219165209838776,0.0180027575675841,-0.026616131066501573,0.04164507162501163,0.08368957998610427,0.29253985556922324,-0.015266983710217034,-0.06742456770899086,34.875,11.86875
all-weather (star) MC_Iter_8,0.004012046392962654,0.018825696007232485,-0.004874681492725504,-0.2760882754911784,0.06152112687064408,0.2143997974659043,-0.01651956385227244,-0.053925430117587436,34.875,11.86875
all-weather (star) MC_Iter_9,0.007405027540124662,0.05408913624747148,14.989163000940795,262.8847382764944,0.03952082562464125,0.1559415954409253,-0.016983424449871637,-0.10949709153399112,34.875,11.86875
