,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1987-06-30,94.3484341798414,7.259181108993735,,8.78710579087909,,7.952207222984112,,7.556428347750561,,7.681027012411539,,8.813853332922495,,6.876388529556572
1987-07-31,97.17018957715752,7.369245390343131,,8.776273879668127,,7.985416059085715,,7.551789791013629,,7.69291758475475,,8.906457592925678,,6.940246327970866
1987-08-31,99.1667341128845,7.399535899543354,,8.85886249269287,,8.046928175884137,,7.6107318045049555,,7.847954670699793,,8.941092606760993,,7.003771142166328
1987-09-30,96.67308134971782,7.2362334278765985,,8.699055976547521,,7.911863178407074,,7.469500428842996,,7.711184869976092,,8.84894582893976,,6.913487626268782
1987-10-31,83.98933138185815,6.850434322666848,,8.218975056082334,,7.498054949866794,,7.032026577540514,,7.199318340214617,,8.269859356070025,,6.466621251986052
1987-11-30,79.6745895877759,6.731909271225688,,8.099287901357116,,7.444648763631556,,6.916652803843569,,7.091442024722847,,8.2230891107775,,6.421142156608033
1987-12-31,83.89757659100289,6.929444543127139,,8.158254880968554,,7.418143068455957,,7.040881807977427,,7.094527547586633,,8.338762810582715,,6.474809471523536
1988-01-31,87.5349596942927,7.156622508968557,,8.333570633932013,,7.5447978890249265,,7.212031535467441,,7.289246102266162,,8.41800390523176,,6.5901099059448836
1988-02-29,90.45312014037924,7.266781007741742,,8.474813843323139,,7.593489617185263,,7.335979837857667,,7.39454210650229,,8.540098330292698,,6.653040268375514
1988-03-31,88.05598700712639,7.166427988390497,,8.535062528736862,,7.7102544488099936,,7.337547312323799,,7.3984140459160885,,8.677243667029826,,6.705168316257731
1988-04-30,88.21952463581681,7.135598298389841,,8.524736020675054,,7.69087939810665,,7.325318740487815,,7.368958985244401,,8.660430497022015,,6.699516340381231
1988-05-31,88.21272266911993,7.140937879348988,,8.55878127866011,,7.760421591265549,,7.3426769199399295,,7.3845763137798315,,8.752124220351206,,6.742866200384316
1988-06-30,91.80801042423604,7.386231221843276,,8.738836885692244,,7.902001522358885,,7.4977615781108184,,7.52564128291537,,8.955416863882949,,6.902863299563018
1988-07-31,91.1760885741913,7.288100310057546,,8.6771261449072,,7.801173648951541,,7.436017780866313,,7.45153456640939,,8.84072247715684,,6.823618189448812
1988-08-31,89.23119003156539,7.196184429863767,,8.551421943689567,,7.6922332120411685,,7.3447518327272885,,7.369788373261205,,8.737333611219213,,6.733677929219228
1988-09-30,92.6853898726209,7.370375528696836,,8.694967135488955,,7.73546542778816,,7.509228058025654,,7.526158199743232,,8.787034897818701,,6.822505333148669
1988-10-31,95.05005976043387,7.552774859047531,,8.90489553806467,,7.919383619935769,,7.6923026508528,,7.704729644306443,,9.002325841552064,,6.989795553942791
1988-11-30,93.52040397503114,7.452517705979002,,8.897328952557974,,7.963010809585621,,7.648933740145084,,7.6834202011448545,,9.02236728992767,,6.960914702440589
1988-12-31,94.60893278366447,7.505662690143875,,8.974855865780796,,8.0307363182589,,7.699427653146492,,7.735880131559211,,9.115014144423123,,7.006601288861705
1989-01-31,99.37309523614661,7.693402697403042,,9.070245917972997,,8.000830197902859,,7.827533003561304,,7.791072004287879,,8.99461495868496,,7.082151602903648
1989-02-28,97.3827426937456,7.573977794194166,,8.964169007141212,,7.920122833310418,,7.728497698542996,,7.697501427318221,,8.919710407919103,,7.00681630805862
1989-03-31,99.11242543367533,7.657231977625995,,9.033589448698384,,7.943655429310909,,7.80754592034089,,7.752122242604455,,8.929202622613996,,7.055780057678229
