,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1964-04-30,12.041616298371494,,,,,,,,,,,,,
1964-05-31,12.17241586143768,,,,,,,,,,,,,
1964-06-30,12.345568062369956,,,,,,,,,,,,,
1964-07-31,12.505012637778396,1.1005948819658626,,1.0704544876801432,,1.1138410481668557,,1.0808103562027884,,1.065691337942197,,1.0432125517850064,,1.069416672463736
1964-08-31,12.406280108410343,,,,,,,,,,,,,
1964-09-30,12.674336310291071,1.1168331139756382,,1.077240200651671,,1.120598406447527,,1.0882180303148337,,1.0734248712803718,,1.049736583280834,,1.0793915610390101
1964-10-31,12.782282147874671,,,,,,,,,,,,,
1964-11-30,12.761493903559412,,,,,,,,,,,,,
1964-12-31,12.824601503002972,1.1168117882619841,,1.0772175762867262,,1.120429700038778,,1.0881903097885715,,1.0733303063257869,,1.0493139834740839,,1.0793655440543335
1965-01-31,13.125323249005048,1.132577830494579,,1.0892122342215684,,1.1319950794270222,,1.1014873608984872,,1.0889442239426943,,1.0590466549510655,,1.0939951572182518
1965-02-28,13.138349607059695,1.13278867247779,,1.0889637793736806,,1.1354866276404834,,1.100489367560009,,1.0927607320150514,,1.0590879547291305,,1.0935531685700388
1965-03-31,13.068385561868919,1.13140865492886,,1.090150902662679,,1.1390670261325933,,1.0990685705113228,,1.0944891630084173,,1.0618551467934136,,1.0939514749938186
1965-04-30,13.37205547495033,1.1458333172295903,,1.093743527755676,,1.1416895763494557,,1.1045953867077953,,1.098950060621987,,1.0653835109340704,,1.101179572623026
1965-05-31,13.33855807179021,1.1421553601023784,,1.0846543853417705,,1.1370664204977672,,1.0942660547541239,,1.0936916917037467,,1.0596633259082662,,1.0944644504087657
1965-06-30,12.994363091295902,1.1290391494513066,,1.0800979802423019,,1.1367833097652988,,1.0877006378108525,,1.092861166382717,,1.057544705378441,,1.0876856517538833
1965-07-31,13.128782207858983,1.136766332137356,,1.0875930462245598,,1.1466890291283394,,1.0958450658254801,,1.1060154621464025,,1.0625790771340193,,1.0958920966307233
1965-08-31,13.323897776899365,,,,,,,,,,,,,
1965-09-30,13.587703122414073,1.1486348377255733,,1.0945906151380735,,1.152426910955343,,1.103039408766968,,1.1122237502475258,,1.066296305016137,,1.10568371569289
