,hrp MC_Iter_0,hrp MC_Iter_1,hrp MC_Iter_2,hrp MC_Iter_3,hrp MC_Iter_4,hrp MC_Iter_5,hrp MC_Iter_6,hrp MC_Iter_7,hrp MC_Iter_8,hrp MC_Iter_9,hrp MC_Iter_10,hrp MC_Iter_11,hrp MC_Iter_12,hrp MC_Iter_13,hrp MC_Iter_14,hrp MC_Iter_15,hrp MC_Iter_16,hrp MC_Iter_17,hrp MC_Iter_18,hrp MC_Iter_19,hrp MC_Iter_20,hrp MC_Iter_21,hrp MC_Iter_22,hrp MC_Iter_23,hrp MC_Iter_24,hrp MC_Iter_25,hrp MC_Iter_26,hrp MC_Iter_27,hrp MC_Iter_28,hrp MC_Iter_29,hrp MC_Iter_30,hrp MC_Iter_31,hrp MC_Iter_32,hrp MC_Iter_33,hrp MC_Iter_34,hrp MC_Iter_35,hrp MC_Iter_36,hrp MC_Iter_37,hrp MC_Iter_38,hrp MC_Iter_39,hrp MC_Iter_40,hrp MC_Iter_41,hrp MC_Iter_42,hrp MC_Iter_43,hrp MC_Iter_44,hrp MC_Iter_45,hrp MC_Iter_46,hrp MC_Iter_47,hrp MC_Iter_48,hrp MC_Iter_49,hrp MC_Iter_50,hrp MC_Iter_51,hrp MC_Iter_52,hrp MC_Iter_53,hrp MC_Iter_54,hrp MC_Iter_55,hrp MC_Iter_56,hrp MC_Iter_57,hrp MC_Iter_58,hrp MC_Iter_59,hrp MC_Iter_60,hrp MC_Iter_61,hrp MC_Iter_62,hrp MC_Iter_63,hrp MC_Iter_64,hrp MC_Iter_65,hrp MC_Iter_66,hrp MC_Iter_67,hrp MC_Iter_68,hrp MC_Iter_69,hrp MC_Iter_70,hrp MC_Iter_71,hrp MC_Iter_72,hrp MC_Iter_73,hrp MC_Iter_74,hrp MC_Iter_75,hrp MC_Iter_76,hrp MC_Iter_77,hrp MC_Iter_78,hrp MC_Iter_79,hrp MC_Iter_80,hrp MC_Iter_81,hrp MC_Iter_82,hrp MC_Iter_83,hrp MC_Iter_84,hrp MC_Iter_85,hrp MC_Iter_86,hrp MC_Iter_87,hrp MC_Iter_88,hrp MC_Iter_89,hrp MC_Iter_90,hrp MC_Iter_91,hrp MC_Iter_92,hrp MC_Iter_93,hrp MC_Iter_94,hrp MC_Iter_95,hrp MC_Iter_96,hrp MC_Iter_97,hrp MC_Iter_98,hrp MC_Iter_99
2024-02-29,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0,0.9999999999999997,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999997,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-03-31,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
2024-04-30,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999998,1.0000000000000004,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999997,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
2024-05-31,1.0000000000000002,1.0,1.0,0.9999999999999997,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
2024-06-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999996,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0
2024-07-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999998,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999997,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000004,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
2024-08-31,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999997,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
2024-09-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999997,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0
2024-10-31,0.9999999999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000004,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0
2024-11-30,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.9999999999999997,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999997,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
