,mean,std,skew,kurtosis,ir,adj sr,cer,mdd,turnover,sspw
hrp MC_Iter_0,0.03388362749138062,0.10336092920915554,12.067398843712288,149.6395859200087,0.09463305720522087,0.328707003918704,-0.002141595039089471,-0.049770997450010124,12.908812782068667,1.9263647558848955
hrp MC_Iter_1,0.05466964365619177,0.19796378723234445,12.762935302014197,168.61786360582366,0.07972047292760169,0.29304835181570205,-0.024114847926867647,-0.08295993693317516,12.116606912161755,1.9454474944559599
hrp MC_Iter_2,0.02344909093129298,0.08280251878067875,12.918225480153,181.91894537839,0.08175076773505752,0.2865489795637901,-0.006835294743344007,-0.0661874600353537,12.833676740961607,2.0077193453204893
hrp MC_Iter_3,0.01827886104416295,0.08568942838338837,13.13317065713436,187.80668434891365,0.06157880583069155,0.23817260666928922,-0.012735156160844816,-0.1319692027275824,14.184951743341921,2.0373022943423384
hrp MC_Iter_4,0.011201662394557365,0.08502207385681411,11.054362204445486,180.15957846249185,0.038032963120616,0.14684916301866666,-0.019641467169812965,-0.16708249086957072,14.39857356683974,2.0317981799996185
hrp MC_Iter_5,0.039276792581446736,0.12913211396350846,12.355411035942588,158.0925990221607,0.08780335918690035,0.312827920236762,-0.0057358617035800676,-0.051017701101248925,11.076152818018997,1.896307729290132
hrp MC_Iter_6,0.032694892829319686,0.1282266537273253,13.008442145622917,178.8614042071762,0.07360562187123147,0.2744626789023652,-0.0119682192598414,-0.12245253251213273,12.210564979654688,1.9564510448891745
hrp MC_Iter_7,0.038236192024165824,0.13761116453262193,12.100912142726566,150.17670147168138,0.080210336977074,0.3020140317321044,-0.010169056881870687,-0.1113382674449942,13.983265923233912,2.006233428084109
hrp MC_Iter_8,0.021189660992829353,0.09457534563777577,11.542400440066578,150.88538836030966,0.06467783118183197,0.2513163902659412,-0.012227083010927776,-0.1408642878465418,12.110825869071958,1.9736059896509883
hrp MC_Iter_9,0.032111167612230124,0.13588699108747146,13.106143070366864,185.4063063357314,0.06821621082543623,0.2579941880337474,-0.015586743907979702,-0.15323433782129348,12.07205524312109,1.9139445100581425
