,BAB,CS,GermanBond10Y,GermanyEq,Gold,JapanBond10Y,JapanEq,Oil,TRCommodity,UKEq,UMD_Large,UMD_Small,USBond10Y,USEq
1788-08-31,,,,0.44697319048111894,,,,,,,,,0.5530268095188811,
1837-11-30,,,,0.3123892392022145,,,,,,,,,0.6876107607977855,
1838-02-28,,,,0.2989600737431597,,,,,,,,,0.7010399262568403,
1838-05-31,,,,0.3740600096962705,,,,,,,,,0.6259399903037295,
1838-08-31,,,,0.39056686818833597,,,,,,,,,0.609433131811664,
1838-11-30,,,,0.4138945453324939,,,,,,,,,0.5861054546675061,
1839-02-28,,,,0.21521595913576352,,,,,,,,,0.7847840408642365,
1839-05-31,,,,0.2202284532810065,,,,,,,,,0.7797715467189935,
1839-08-31,,,,0.19882702999443447,,,,,,,,,0.8011729700055655,
1839-11-30,,,,0.14169006077823287,,,,,,,,,0.8583099392217671,
1840-02-29,,,,0.3465993473260459,,,,,,,,,0.6534006526739541,
1840-05-31,,,,0.3863607418011179,,,,,,,,,0.6136392581988821,
1840-08-31,,,,0.39662227344612033,,,,,,,,,0.6033777265538797,
1840-11-30,,,,0.3999232002586329,,,,,,,,,0.6000767997413671,
1841-02-28,,,,0.7089217199985356,,,,,,,,,0.2910782800014644,
1841-05-31,,,,0.7087893416204378,,,,,,,,,0.29121065837956217,
1841-08-31,,,,0.7189045728564252,,,,,,,,,0.2810954271435748,
1841-11-30,,,,0.7323807863331271,,,,,,,,,0.2676192136668729,
1842-02-28,,,,0.647562219941987,,,,,,,,,0.35243778005801296,
1842-05-31,,,,0.6409364012623507,,,,,,,,,0.35906359873764926,
1842-08-31,,,,0.7278185148227959,,,,,,,,,0.2721814851772041,
1842-11-30,,,,0.7485408416972645,,,,,,,,,0.25145915830273546,
1843-02-28,,,,0.8056941158541888,,,,,,,,,0.19430588414581118,
1843-05-31,,,,0.45477228278023796,,,,,,,,,0.545227717219762,
1843-08-31,,,,0.4583663118282616,,,,,,,,,0.5416336881717384,
1843-11-30,,,,0.44265898770832424,,,,,,,,,0.5573410122916758,
1844-02-29,,,,0.45132637318002133,,,,,,,,,0.5486736268199787,
1844-05-31,,,,0.41017172438588567,,,,,,,,,0.5898282756141143,
1844-08-31,,,,0.32826689495753303,,,,,,,,,0.671733105042467,
1844-11-30,,,,0.31194207500218296,,,,,,,,,0.688057924997817,
1845-02-28,,,,0.3181444796378844,,,,,,,,,0.6818555203621156,
1845-05-31,,,,0.40106544157310664,,,,,,,,,0.5989345584268934,
1845-08-31,,,,0.36930198666375347,,,,,,,,,0.6306980133362465,
1845-11-30,,,,0.3769635264408654,,,,,,,,,0.6230364735591346,
1846-02-28,,,,0.3419679266620339,,,,,,,,,0.6580320733379661,
1846-05-31,,,,0.4253931493177108,,,,,,,,,0.5746068506822892,
1846-08-31,,,,0.45661500537996746,,,,,,,,,0.5433849946200325,
1846-11-30,,,,0.4814323722576279,,,,,,,,,0.5185676277423721,
1847-02-28,,,,0.48967755107490907,,,,,,,,,0.5103224489250909,
1847-05-31,,,,0.4900833584313381,,,,,,,,,0.5099166415686619,
1847-08-31,,,,0.5098774438614152,,,,,,,,,0.4901225561385848,
1847-11-30,,,,0.4988276583010536,,,,,,,,,0.5011723416989464,
1848-02-29,,,,0.5083719015989474,,,,,,,,,0.4916280984010526,
1848-05-31,,,,0.413628729803888,,,,,,,,,0.586371270196112,
1848-08-31,,,,0.35076311964701057,,,,,,,,,0.6492368803529894,
1848-11-30,,,,0.31591817860470983,,,,,,,,,0.6840818213952902,
1849-02-28,,,,0.3047801591025924,,,,,,,,,0.6952198408974076,
1849-05-31,,,,0.3303494307533239,,,,,,,,,0.6696505692466761,
1849-08-31,,,,0.3385644933998361,,,,,,,,,0.6614355066001639,
1849-11-30,,,,0.32764460528723915,,,,,,,,,0.6723553947127608,
1850-02-28,,,,0.3171346864002903,,,,,,,,,0.6828653135997097,
1850-05-31,,,,0.33091130055503193,,,,,,,,,0.6690886994449681,
1850-08-31,,,,0.4562419967689354,,,,,,,,,0.5437580032310646,
1850-11-30,,,,0.501642764132781,,,,,,,,,0.49835723586721903,
1851-02-28,,,,0.4880664327135459,,,,,,,,,0.5119335672864541,
1851-05-31,,,,0.4523619038100818,,,,,,,,,0.5476380961899182,
1851-08-31,,,,0.42113310243083346,,,,,,,,,0.5788668975691665,
1851-11-30,,,,0.515747409687239,,,,,,,,,0.484252590312761,
1852-02-29,,,,0.5132291203376069,,,,,,,,,0.4867708796623931,
1852-05-31,,,,0.4840571427983301,,,,,,,,,0.5159428572016699,
1852-08-31,,,,0.43741856351398134,,,,,,,,,0.5625814364860187,
1852-11-30,,,,0.4347377721863315,,,,,,,,,0.5652622278136685,
1853-02-28,,,,0.4547981070955448,,,,,,,,,0.5452018929044552,
1853-05-31,,,,0.45349772255955156,,,,,,,,,0.5465022774404484,
1853-08-31,,,,0.46611745832638096,,,,,,,,,0.533882541673619,
1853-11-30,,,,0.2991328833196223,,,,,,,,,0.7008671166803777,
1854-02-28,,,,0.3151741851609735,,,,,,,,,0.6848258148390265,
1854-05-31,,,,0.24806858318245295,,,,,,,,,0.751931416817547,
1854-08-31,,,,0.2122978500908289,,,,,,,,,0.7877021499091711,
1854-11-30,,,,0.2414763350627065,,,,,,,,,0.7585236649372935,
1855-02-28,,,,0.25558446837389204,,,,,,,,,0.744415531626108,
1855-05-31,,,,0.27433557029689404,,,,,,,,,0.725664429703106,
1855-08-31,,,,0.2571173768698124,,,,,,,,,0.7428826231301876,
