,ret
2000-01-31,-0.004045981923729227
2000-02-29,0.03221015538349653
2000-03-31,-0.008967717010953618
2000-04-30,-0.00789104782782867
2000-05-31,0.0006859905458462866
2000-06-30,0.009627411446698297
2000-07-31,-0.000643430852682516
2000-08-31,0.016955094743872648
2000-09-30,-0.0018215946538194699
2000-10-31,0.0035567894726959964
2000-11-30,0.013972800000885592
2000-12-31,0.0022764900048901967
2001-01-31,-0.0016642743459954045
2001-02-28,0.005345368487529218
2001-03-31,0.0018202451219735908
2001-04-30,0.00429576773402729
2001-05-31,0.0031526148060071948
2001-06-30,-0.000519942691998132
2001-07-31,-0.006160158690932093
2001-08-31,0.00020585918202213984
2001-09-30,-0.015646578173474424
2001-10-31,0.006010799722994715
2001-11-30,-0.00024915466967902547
2001-12-31,-0.0012505643596161752
2002-01-31,-0.0009698900393837312
2002-02-28,0.009903095899913597
2002-03-31,0.01923093713658789
2002-04-30,0.009917190443673623
2002-05-31,0.0057848274395185684
2002-06-30,0.004037885985878189
2002-07-31,-0.012876451096433723
2002-08-31,0.013777175393184859
2002-09-30,-0.004372469206477937
2002-10-31,-0.0027428405471623864
2002-11-30,0.010650845419662628
2002-12-31,0.013172331558073368
2003-01-31,0.022212656481437935
2003-02-28,0.0008056592118819847
2003-03-31,-0.016914014238276584
2003-04-30,0.007800265316113771
2003-05-31,0.02279197759471942
2003-06-30,-0.007570759307931788
2003-07-31,0.009695962120978294
2003-08-31,-0.00010830530191472646
2003-09-30,0.003510134426806195
2003-10-31,0.01507852297141521
2003-11-30,0.01393601381333128
2003-12-31,0.011354440335499323
2004-01-31,0.009757200196142672
2004-02-29,0.01320683042190081
2004-03-31,0.005871170686982252
2004-04-30,-0.01852037835272856
2004-05-31,0.0017171747187137735
2004-06-30,-0.0014216014130865092
2004-07-31,0.00027177129245190695
2004-08-31,0.0013148730189799255
2004-09-30,0.026046615223147048
2004-10-31,0.005783846029786536
2004-11-30,0.01783200246682483
2004-12-31,0.0005189287400980708
2005-01-31,0.006436309808644195
2005-02-28,0.009981077649121279
2005-03-31,0.004493067882954324
2005-04-30,-0.012909870635624581
2005-05-31,0.010607200387796098
2005-06-30,0.020777979779407107
2005-07-31,0.009848647578745342
2005-08-31,0.012877968859833815
2005-09-30,0.013946083438745354
2005-10-31,-0.014136398059313184
2005-11-30,0.013495324804116407
2005-12-31,0.0166919910168116
2006-01-31,0.019110204078304285
2006-02-28,-0.006674207574066128
2006-03-31,0.009731503305065283
2006-04-30,0.008580860033036439
2006-05-31,-0.006729369138452972
2006-06-30,-0.001092652657473012
2006-07-31,0.0052108297917692415
2006-08-31,0.00029880240751510784
2006-09-30,-0.005335415718371649
2006-10-31,0.007254471092581211
2006-11-30,0.010772714712834279
2006-12-31,0.004087448258681722
2007-01-31,0.0029516142278767166
2007-02-28,0.003517677621497346
2007-03-31,0.0033671250145874323
2007-04-30,0.0038029557012546292
2007-05-31,0.0034610988863908996
2007-06-30,4.467350221551555e-05
2007-07-31,-0.0040367655257456175
2007-08-31,-0.005115334975026477
2007-09-30,0.010417729462492642
2007-10-31,0.020425922077403142
2007-11-30,-0.009461486819904164
2007-12-31,0.010043506865989699
2008-01-31,-0.007455448433678698
2008-02-29,0.01653187981954972
2008-03-31,-0.0029511818872589436
2008-04-30,0.007245009317807886
2008-05-31,0.005564278634275972
2008-06-30,-0.0044820014842446645
2008-07-31,-0.0013447198898443086
2008-08-31,0.003773068298524081
2008-09-30,-0.014057554269030801
2008-10-31,-0.045372902704397276
2008-11-30,-0.002074953272532863
2008-12-31,0.008795699923133365
2009-01-31,-0.01370279767459306
2009-02-28,-0.00690763673027248
2009-03-31,-0.0026054676510514144
2009-04-30,0.004610576489242846
2009-05-31,0.007494734782239476
2009-06-30,0.0075360652352254075
2009-07-31,0.012739600750601219
2009-08-31,0.014187560819699296
2009-09-30,0.012844879906783555
2009-10-31,-0.007724631635012261
2009-11-30,0.014156067710215964
2009-12-31,0.008428403701662191
2010-01-31,-0.01006390809586636
2010-02-28,0.012383886708578274
2010-03-31,0.014772037506843536
2010-04-30,0.01672955635574612
2010-05-31,-0.010099325712933148
2010-06-30,-0.003133518624197426
2010-07-31,-0.0023231766602885584
2010-08-31,0.005690632563445903
2010-09-30,0.010854589241175047
2010-10-31,0.006242453980673524
2010-11-30,-0.0029161921882826392
2010-12-31,0.024405647737411874
2011-01-31,-0.010034018189499
2011-02-28,0.018473272739198503
2011-03-31,0.0019818845986580218
2011-04-30,0.013391316836495325
2011-05-31,-0.005744739893019813
2011-06-30,-0.006619462766514885
2011-07-31,0.013578400604620438
2011-08-31,-0.0028374545463482736
2011-09-30,-0.01016061047775419
2011-10-31,0.011825842811649522
2011-11-30,0.00218316532825466
2011-12-31,0.0036462382702140196
2012-01-31,0.0009421922936382129
2012-02-29,0.013387101472330843
2012-03-31,0.0014852783495969332
2012-04-30,0.0013889773824916727
2012-05-31,-0.0019007461659758577
2012-06-30,0.0006020109621803467
2012-07-31,0.008924303342156617
2012-08-31,0.001524537127910186
2012-09-30,0.0029087133040337637
2012-10-31,0.003266161465089408
2012-11-30,0.0015146038059798445
2012-12-31,0.008606780922255124
2013-01-31,0.009870043253185141
2013-02-28,0.0034237325276135905
2013-03-31,0.014236570408751635
2013-04-30,-0.002312521319398489
2013-05-31,-0.009203390519788033
2013-06-30,-0.003985063877477939
2013-07-31,0.013935440221404131
2013-08-31,-0.0023547567194762437
2013-09-30,0.006816815246848548
2013-10-31,0.0047831909137431745
2013-11-30,0.0069045949317132465
2013-12-31,0.004959718169587421
