,risk_parity MC_Iter_0,risk_parity MC_Iter_1,risk_parity MC_Iter_2,risk_parity MC_Iter_3,risk_parity MC_Iter_4,risk_parity MC_Iter_5,risk_parity MC_Iter_6,risk_parity MC_Iter_7,risk_parity MC_Iter_8,risk_parity MC_Iter_9
2024-02-29,1.0,1.0,1.0000000000000004,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999
2024-03-31,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0000000000000002
2024-04-30,0.9999999999999999,0.9999999999999998,1.0000000000000002,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,0.9999999999999998
2024-05-31,1.0,1.0000000000000004,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002
2024-06-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
2024-07-31,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000004,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002
2024-08-31,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999
2024-09-30,1.0,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0
2024-10-31,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999
2024-11-30,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0
2024-12-31,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,1.0,1.0
2025-01-31,0.9986034782356794,0.997627801540906,0.9989526748917881,0.9989460340165074,0.9972952967656037,0.9953488338331823,0.9982572691541894,1.0009697683880259,0.9994054453773855,1.0033051038934715
2025-02-28,0.9846835482740129,0.9953531402580416,0.9914371848825196,0.9999587824779207,1.0054965919851613,0.9961966226539173,0.9967779367938433,1.0030054786904292,1.003748591824586,1.002043022658964
2025-03-31,0.9866410790027077,0.9944502296550917,0.9952484155836335,1.0009822482937754,1.003113949196661,0.9952632408652612,0.992927140748425,0.9965180128176107,1.0047643494407887,0.999699713612643
2025-04-30,0.9852739530313139,0.9875904845166307,0.997640534534983,1.0014614226242433,1.0101247152410657,1.0022794988369201,0.9910572861048161,0.9947892897973097,1.0044413846529854,0.9981069785295967
2025-05-31,0.9898570184186097,0.9856612136996776,0.998449082327708,1.0016267197250894,1.0144000270898967,1.001250676050059,0.9895765756150745,0.9940183689873223,1.0103103768031134,0.9952048496800211
2025-06-30,0.990441844280032,0.991358276118398,1.0000686704439812,1.0001566141279468,1.0141008043156943,1.0010075230661182,0.9869354262896839,0.9950047477591976,1.0125702493470599,0.9923054653499096
2025-07-31,0.9878125841315255,0.9862523866463832,1.0028404187615665,0.9941963781939107,1.018478345886819,1.000138330670623,0.9895314380508711,0.9978093720180283,1.0145659374034757,0.9925054386392544
2025-08-31,0.9894523464546248,0.9887632554408159,1.0070678894389267,0.9878770965664793,1.0204648412907682,1.011079602294812,0.9857520321004031,1.0025572394925988,1.0197437398031406,0.9895379673722079
2025-09-30,0.9894721295014788,0.9893361455978772,1.0074426715212166,0.989003904663316,1.0170633813457384,0.9809234070480845,0.9817370393560834,1.0057426791597253,1.0162494592664522,0.9831721516886707
2025-10-31,0.981099346929356,0.9881225011888448,1.003873193872743,0.9908044493905597,1.0129685659272019,0.9760471695183967,0.9783317790677053,1.0020939506981905,1.0176016984457785,0.9876929576095764
2025-11-30,0.9841959127161867,0.9852005722940808,1.0088740787695873,0.9934692809644702,1.0119119566999761,0.9767060166871007,0.9776433786344265,1.0023297598950862,1.0201293920033092,0.9841844738825636
2025-12-31,0.9869078235368325,0.990034695476341,1.0162472315411997,0.9878313954707022,1.012648241811685,0.9687586816022696,0.9844215026253351,1.0044260983346194,1.0151274898841247,0.9891687572568206
2026-01-31,0.9915247775930944,0.9923656163197353,1.0136990425685715,0.9935145192622716,1.0135289546611128,0.9707808685273424,0.9928265342887933,1.0071532052069996,1.0075424144870342,0.9947363208295306
2026-02-28,0.9851647537127594,0.9897838630984594,1.0128610631890218,0.9964635448945287,1.010578635757668,0.9733444137108797,0.9943558484247192,1.0098211293257446,1.00764256350688,0.9970560554226696
2026-03-31,0.9874207097514608,0.9871128630493284,1.0182791636169468,1.0010914188814481,1.0141873032260387,0.9710904632594226,0.9928155905458296,1.0080036298579265,0.9998574130506822,0.9999083613802515
