,risk_parity MC_Iter_0,risk_parity MC_Iter_1,risk_parity MC_Iter_2,risk_parity MC_Iter_3,risk_parity MC_Iter_4,risk_parity MC_Iter_5,risk_parity MC_Iter_6,risk_parity MC_Iter_7,risk_parity MC_Iter_8,risk_parity MC_Iter_9,risk_parity MC_Iter_10,risk_parity MC_Iter_11,risk_parity MC_Iter_12,risk_parity MC_Iter_13,risk_parity MC_Iter_14,risk_parity MC_Iter_15,risk_parity MC_Iter_16,risk_parity MC_Iter_17,risk_parity MC_Iter_18,risk_parity MC_Iter_19,risk_parity MC_Iter_20,risk_parity MC_Iter_21,risk_parity MC_Iter_22,risk_parity MC_Iter_23,risk_parity MC_Iter_24,risk_parity MC_Iter_25,risk_parity MC_Iter_26,risk_parity MC_Iter_27,risk_parity MC_Iter_28,risk_parity MC_Iter_29,risk_parity MC_Iter_30,risk_parity MC_Iter_31,risk_parity MC_Iter_32,risk_parity MC_Iter_33,risk_parity MC_Iter_34,risk_parity MC_Iter_35,risk_parity MC_Iter_36,risk_parity MC_Iter_37,risk_parity MC_Iter_38,risk_parity MC_Iter_39,risk_parity MC_Iter_40,risk_parity MC_Iter_41,risk_parity MC_Iter_42,risk_parity MC_Iter_43,risk_parity MC_Iter_44,risk_parity MC_Iter_45,risk_parity MC_Iter_46,risk_parity MC_Iter_47,risk_parity MC_Iter_48,risk_parity MC_Iter_49,risk_parity MC_Iter_50,risk_parity MC_Iter_51,risk_parity MC_Iter_52,risk_parity MC_Iter_53,risk_parity MC_Iter_54,risk_parity MC_Iter_55,risk_parity MC_Iter_56,risk_parity MC_Iter_57,risk_parity MC_Iter_58,risk_parity MC_Iter_59,risk_parity MC_Iter_60,risk_parity MC_Iter_61,risk_parity MC_Iter_62,risk_parity MC_Iter_63,risk_parity MC_Iter_64,risk_parity MC_Iter_65,risk_parity MC_Iter_66,risk_parity MC_Iter_67,risk_parity MC_Iter_68,risk_parity MC_Iter_69,risk_parity MC_Iter_70,risk_parity MC_Iter_71,risk_parity MC_Iter_72,risk_parity MC_Iter_73,risk_parity MC_Iter_74,risk_parity MC_Iter_75,risk_parity MC_Iter_76,risk_parity MC_Iter_77,risk_parity MC_Iter_78,risk_parity MC_Iter_79,risk_parity MC_Iter_80,risk_parity MC_Iter_81,risk_parity MC_Iter_82,risk_parity MC_Iter_83,risk_parity MC_Iter_84,risk_parity MC_Iter_85,risk_parity MC_Iter_86,risk_parity MC_Iter_87,risk_parity MC_Iter_88,risk_parity MC_Iter_89,risk_parity MC_Iter_90,risk_parity MC_Iter_91,risk_parity MC_Iter_92,risk_parity MC_Iter_93,risk_parity MC_Iter_94,risk_parity MC_Iter_95,risk_parity MC_Iter_96,risk_parity MC_Iter_97,risk_parity MC_Iter_98,risk_parity MC_Iter_99
2024-02-29,0.9999999999999999,0.9999999999999999,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999997,0.9999999999999999,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999997,1.0,1.0,1.0000000000000002,0.9999999999999998,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999999,0.9999999999999998,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0
2024-03-31,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0,1.0
2024-04-30,1.0,1.0,1.0000000000000002,0.9999999999999997,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0000000000000002,0.9999999999999999,0.9999999999999998,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,0.9999999999999999,0.9999999999999997,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0000000000000004,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,0.9999999999999996,0.9999999999999998,0.9999999999999998,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9999999999999997
2024-05-31,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999997,1.0,1.0000000000000002,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000004,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.9999999999999997,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0000000000000002,0.9999999999999998,1.0,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999999,1.0000000000000002
2024-06-30,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0,1.0,0.9999999999999997,1.0,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0,1.0,1.0000000000000004,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0000000000000002,0.9999999999999999
2024-07-31,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999997,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999998,0.9999999999999999,0.9999999999999997,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.0000000000000004,1.0000000000000002,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,0.9999999999999998,0.9999999999999999,1.0,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0,1.0
2024-08-31,1.0,0.9999999999999998,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999996,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999998,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9999999999999999,0.9999999999999998,1.0,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.9999999999999997,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000004,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000004
2024-09-30,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999997,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,1.0000000000000004,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0000000000000002
2024-10-31,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999997,1.0,0.9999999999999998,1.0,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999998,0.9999999999999998,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0000000000000004,1.0,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0000000000000004,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0000000000000002,1.0,1.0
2024-11-30,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999997,1.0,0.9999999999999998,0.9999999999999998,1.0000000000000004,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999997,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,0.9999999999999998,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999999
