,6040,all-weather (original),all-weather (star),risk_parity (tier 2),risk_parity (tier 3),hrp (tier 2),hrp (tier 3),hrp_dd (tier 2),hrp_dd (tier 3),hrp_beta (tier 2),hrp_beta (tier 3),hrp_val (tier 2),hrp_val (tier 3),hrp_strc (tier 2)
1936-09-30,1.3620224485939936,,,,,,,,,,,,,
1936-10-31,1.4306405549852048,,,,,,,,,,,,,
1936-11-30,1.4460623271320712,,,,,,,,,,,,,
1936-12-31,1.4440221526261783,,,,,,,,,,,,,
1937-01-31,1.4799362733851786,,,,,,,,,,,,,
1937-02-28,1.4970894519614508,,,,,,,,,,,,,
1937-03-31,1.4805011753042163,,,,,,,,,,,,,
1937-04-30,1.4088804577349077,,,,,,,,,,,,,
1937-05-31,1.3999618184375793,,,,,,,,,,,,,
1937-06-30,1.3587640537077061,,,,,,,,,,,,,
1937-07-31,1.449267048059554,,,,,,,,,,,,,
1937-08-31,1.3983290634958283,,,,,,,,,,,,,
1937-09-30,1.2918913729230463,,,,,,,,,,,,,
1937-10-31,1.222741496053866,,,,,,,,,,,,,
1937-11-30,1.1601535161617207,,,,,,,,,,,,,
1937-12-31,1.1429763716439807,,,,,,,,,,,,,
1938-01-31,1.1625771437460604,,,,,,,,,,,,,
1938-02-28,1.2138329681129005,,,,,,,,,,,,,
1938-04-30,1.1216901617015689,,,,,,,,,,,,,
1938-05-31,1.0953254691598386,,,,,,,,,,,,,
1938-06-30,1.2538967055669465,,,,,,,,,,,,,
1938-07-31,1.3138492788177432,,,,,,,,,,,,,
1938-08-31,1.2946386574354902,,,,,,,,,,,,,
1938-09-30,1.317298733724874,,,,,,,,,,,,,
1938-10-31,1.3874493519766353,,,,,,,,,,,,,
1938-11-30,1.360868815002159,,,,,,,,,,,,,
1938-12-31,1.3971699667099027,,,,,,,,,,,,,
1939-01-31,1.3371155927714553,,,,,,,,,,,,,
1939-02-28,1.370492800566908,,,,,,,,,,,,,
1939-03-31,1.2761662339344508,,,,,,,,,,,,,
1939-04-30,1.2824443788210083,,,,,,,,,,,,,
1939-05-31,1.332233633517773,,,,,,,,,,,,,
1939-06-30,1.2865222724924572,,,,,,,,,,,,,
1939-07-31,1.3719006270564225,,,,,,,,,,,,,
1939-08-31,1.3035830515496323,,,,,,,,,,,,,
1939-09-30,1.403387927836822,,,,,,,,,,,,,
1939-10-31,1.4151819976134346,,,,,,,,,,,,,
1939-11-30,1.3876877901652103,,,,,,,,,,,,,
1939-12-31,1.4189560582553737,,,,,,,,,,,,,
1940-01-31,1.389936318776136,,,,,,,,,,,,,
1940-02-29,1.3935268824334264,,,,,,,,,,,,,
1940-03-31,1.4232402434611635,,,,,,,,,,,,,
1940-04-30,1.4224215685910504,,,,,,,,,,,,,
1940-05-31,1.2036833766562243,,,,,,,,,,,,,
1940-06-30,1.2678668872994876,,,,,,,,,,,,,
1940-07-31,1.297601629738012,,,,,,,,,,,,,
1940-08-31,1.3200250269254283,,,,,,,,,,,,,
