Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_CDAXD,Germany CDAX Total Return Index (w/GFD extension),Total Return Indices - Stocks,Germany Deutschemark (Euro from 01/01/1999),Germany,,,,,,,Index Number ,Units,Stock,none,Monthly From May 1835 To Dec 1862<BR>Annual From Dec 1863 To Dec 1869<BR>Monthly From Jan 1870 To Dec 1969<BR>Daily From Jan 1970 To Feb 2019<BR>,"GFD's Rail Index (GFDEURAILMRM) is used from 1835 until 1868.<br />The CDAXÂ® includes the shares of all domestic companies listed in Prime Standard and General Standard. The index represents the German equity market in its entirety, i.e. all companies listed on FWB Frankfurter WertpapierbÃ¶rse (Frankfurt Stock Exchange).<br />The CDAX and FAZ Aktien indices contain the long-term historical series for Germany. The long-term indices include a 25 stock index from 1856 to 1869 calculated on an annual basis by Dabritz in 1929.  A monthly index of about 80 stocks was calculated from 1870 until 1913 by Otto Donner for the Konjunkturforschung.  The Berlin Stock Exchange was closed in August 1914 and reopened in December 1917.  The indices calculated by the Statistisches Reichsamt/Bundesamt are used beginning in 1918.  Because of the inflation that followed, the index is measured in gold marks rather than paper marks from 1917 to 1923 using 1914 as the base.  Separate series are available that are calculated in paper marks.<br />Beginning in 1924, a nominal index of about 213 shares is used which includes all sectors of the exchange.  This index was calculated until June 1943.  In January 1943 price limits were placed on trading which essentially froze share prices at their existing levels.  These price limits continued until July 1948 when prices were allowed to seek market levels as part of the currency stabilization process.  Stock prices held steady in the western sector of occupied Germany, but steadily depreciated in the Soviet-occupied sectors and on the Berlin stock exchange.  The index uses data for the western sector of occupied Germany from 1945 to 1948 as calculated in Munich.   <br />In July 1948, the Statistisches Bundesamt began keeping a new share index on a monthly basis, which covered about 300 shares.  The index was calculated on a monthly basis from 1948 to 1953, weekly from 1954 until 1973, and daily until the indices were discontinued in June 1995.  The Commerzbank Index is used from 1956 to 1969. The current index is the CDAX Price Index, which includes all stocks traded on the Deutsche Borse. The index was introduced in 1987 and calculated back to 1970. <br />Sources for the series are Statistisches Reichsamt, Statistisches Jahrbuch fur das Deutsche Reich, Berlin: Statistisches Reichsamt and Statistisches Reichsamt, Wirtschaft und Statistik, Berlin (1917-1943), Bayerischen Statistichen Landesamt, Bayern in Zahlen, Munchen: Bayerisches Statistisches Landesamt (1945-1948), Statistisches Bundesamt, Wirtschaft und Statistik and Bundesbank, Statistisches Bundesamt, Geld und Kredit--Reihe 2.S.1--Index der Aktienkurse--Lange Reihen, Wiesbaden: Statistisches Bundesamt, 1985 (1948-1954), Commerzbank, Deutscher Aktienmarkt seit 1953, Frankfurt: Commerzbank, 1988, and The Financial Times (1955-) <br /> The Deutscher Aktienindex (CDAX) was introduced in 1988. The Deutsche Borse has calculated these indices back to 1974. Some of these indices are published in Die Bundesbank, Statistische Beihefte zu den Monatsberichten der Deutschen Bundesbank, Reihe 2, Wertpapier-statisik, Frankfurt am Main: Die Bundesbank.  Unfortunately, the DAX sector indices are not as broad-based as the Bundesamt indices.  To extend the indices back further, the old Bundesamt indices are used through 1973, and the CDAX Price indices begin in 1974. The exception to this rule is the CDAX Index itself, which provides monthly closes back to 1970.  <br /> The Deutsche Borse calculates both price and return. The price sector indices used the Frankfurt Borse's previously calculated price indices to extend the data backward in time, but the CDAX return indices were recalculated on a daily basis back to 1970 for the CDAX index, and on a daily basis back to 1974 for the sector indices. The CDAX return indices describes not the price movements, but the value of movements of the securities of the portfolio analyzed, with dividends and the proceeds of subscription rights being reinvested in the portfolio. The base for the indices is December 31, 1987 = 100.  <br /> The CDAX-share price index of the Deutsche BÃ¶rse AG shows the average price movements of all the ordinary and preferred shares officially listed on the Frankfurt Stock Exchange of companies based in Germany. Prices are ex-dividend and exclude taxes. <br />Coverage: Data refer to unified Germany from 1993 and western Germany prior to this date. All companies listed on the Frankfurt Stock Exchange are included in the index. This corresponds to more than 670 firms and 727 shares traded covering all sectors in the economy. <br />Collection: The actual share price or market price, constitutes the basis for computing the CDAX. <br />Calculation: Monthly, quarterly and annual data are averages of daily figures (closing auction prices). The index is computed according to a Laspeyres Index formula where the price of each stock is weighted by the number of shares listed on the stock exchange and declared to be deliverable.",
Date,Ticker,Open,High,Low,Close,Volume,Openint
05/31/1835,_CDAXD,0.0267921,0.0267921,0.0267921,0.0267921,0,
06/30/1835,_CDAXD,0.0290886,0.0290886,0.0290886,0.0290886,0,
07/31/1835,_CDAXD,0.0279404,0.0279404,0.0279404,0.0279404,0,
08/31/1835,_CDAXD,0.0283231,0.0283231,0.0283231,0.0283231,0,
09/30/1835,_CDAXD,0.0290886,0.0290886,0.0290886,0.0290886,0,
10/31/1835,_CDAXD,0.0290886,0.0290886,0.0290886,0.0290886,0,
11/30/1835,_CDAXD,0.0290886,0.0290886,0.0290886,0.0290886,0,
12/31/1835,_CDAXD,0.0290886,0.0290886,0.0290886,0.0290886,0,
01/31/1836,_CDAXD,0.0290886,0.0290886,0.0290886,0.0290886,0,
02/29/1836,_CDAXD,0.0305866,0.0305866,0.0305866,0.0305866,0,
03/31/1836,_CDAXD,0.0349536,0.0349536,0.0349536,0.0349536,0,
04/30/1836,_CDAXD,0.035607,0.035607,0.035607,0.035607,0,
05/31/1836,_CDAXD,0.0354518,0.0354518,0.0354518,0.0354518,0,
06/30/1836,_CDAXD,0.03458,0.03458,0.03458,0.03458,0,
07/31/1836,_CDAXD,0.0347265,0.0347265,0.0347265,0.0347265,0,
08/31/1836,_CDAXD,0.0348258,0.0348258,0.0348258,0.0348258,0,
09/30/1836,_CDAXD,0.035326,0.035326,0.035326,0.035326,0,
10/31/1836,_CDAXD,0.0345467,0.0345467,0.0345467,0.0345467,0,
11/30/1836,_CDAXD,0.0345455,0.0345455,0.0345455,0.0345455,0,
12/31/1836,_CDAXD,0.034178,0.034178,0.034178,0.034178,0,
01/31/1837,_CDAXD,0.0328797,0.0328797,0.0328797,0.0328797,0,
02/28/1837,_CDAXD,0.0343357,0.0343357,0.0343357,0.0343357,0,
03/31/1837,_CDAXD,0.0349177,0.0349177,0.0349177,0.0349177,0,
04/30/1837,_CDAXD,0.0360742,0.0360742,0.0360742,0.0360742,0,
05/31/1837,_CDAXD,0.0362275,0.0362275,0.0362275,0.0362275,0,
06/30/1837,_CDAXD,0.0350882,0.0350882,0.0350882,0.0350882,0,
07/31/1837,_CDAXD,0.0335758,0.0335758,0.0335758,0.0335758,0,
08/31/1837,_CDAXD,0.0335483,0.0335483,0.0335483,0.0335483,0,
09/30/1837,_CDAXD,0.0318871,0.0318871,0.0318871,0.0318871,0,
10/31/1837,_CDAXD,0.0321165,0.0321165,0.0321165,0.0321165,0,
11/30/1837,_CDAXD,0.030702,0.030702,0.030702,0.030702,0,
12/31/1837,_CDAXD,0.0295888,0.0295888,0.0295888,0.0295888,0,
01/31/1838,_CDAXD,0.0291926,0.0291926,0.0291926,0.0291926,0,
02/28/1838,_CDAXD,0.029188,0.029188,0.029188,0.029188,0,
03/31/1838,_CDAXD,0.0293129,0.0293129,0.0293129,0.0293129,0,
04/30/1838,_CDAXD,0.0289159,0.0289159,0.0289159,0.0289159,0,
05/31/1838,_CDAXD,0.0285517,0.0285517,0.0285517,0.0285517,0,
06/30/1838,_CDAXD,0.0277342,0.0277342,0.0277342,0.0277342,0,
07/31/1838,_CDAXD,0.0272445,0.0272445,0.0272445,0.0272445,0,
08/31/1838,_CDAXD,0.026714,0.026714,0.026714,0.026714,0,
09/30/1838,_CDAXD,0.0265635,0.0265635,0.0265635,0.0265635,0,
10/31/1838,_CDAXD,0.0334028,0.0334028,0.0334028,0.0334028,0,
11/30/1838,_CDAXD,0.032441,0.032441,0.032441,0.032441,0,
12/31/1838,_CDAXD,0.0342126,0.0342126,0.0342126,0.0342126,0,
01/31/1839,_CDAXD,0.0339072,0.0339072,0.0339072,0.0339072,0,
02/28/1839,_CDAXD,0.0342788,0.0342788,0.0342788,0.0342788,0,
03/31/1839,_CDAXD,0.0345132,0.0345132,0.0345132,0.0345132,0,
04/30/1839,_CDAXD,0.0352465,0.0352465,0.0352465,0.0352465,0,
05/31/1839,_CDAXD,0.0349996,0.0349996,0.0349996,0.0349996,0,
06/30/1839,_CDAXD,0.0349401,0.0349401,0.0349401,0.0349401,0,
07/31/1839,_CDAXD,0.0346859,0.0346859,0.0346859,0.0346859,0,
08/31/1839,_CDAXD,0.0350404,0.0350404,0.0350404,0.0350404,0,
09/30/1839,_CDAXD,0.0345667,0.0345667,0.0345667,0.0345667,0,
10/31/1839,_CDAXD,0.0341011,0.0341011,0.0341011,0.0341011,0,
11/30/1839,_CDAXD,0.0344266,0.0344266,0.0344266,0.0344266,0,
12/31/1839,_CDAXD,0.0350369,0.0350369,0.0350369,0.0350369,0,
01/31/1840,_CDAXD,0.0356277,0.0356277,0.0356277,0.0356277,0,
