DATE,BAB
08/01/1931,0.001516603
08/03/1931,0.010831839
08/04/1931,-0.014073847
08/05/1931,0.013210375
08/06/1931,-0.009311559
08/07/1931,0.001286527
08/08/1931,0.004631305
08/10/1931,0.005033651
08/11/1931,-0.004102624
08/12/1931,-0.002264853
08/13/1931,-0.003195223
08/14/1931,-0.001464733
08/15/1931,-0.003116515
08/17/1931,0.005276733
08/18/1931,-0.00177477
08/19/1931,-0.003129706
08/20/1931,-0.005299929
08/21/1931,0.014695031
08/22/1931,0.00375095
08/24/1931,-0.003000891
08/25/1931,-0.002276629
08/26/1931,0.005765551
08/27/1931,-0.007422319
08/28/1931,1.0184E-05
08/29/1931,-0.002035639
08/31/1931,0.005715631
09/01/1931,0.000773022
09/02/1931,0.003253876
09/03/1931,0.002056563
09/04/1931,0.006748546
09/07/1931,0
09/08/1931,0.003265972
09/09/1931,-0.003047357
09/10/1931,0.003976954
09/11/1931,-0.006172181
09/12/1931,0.001041501
09/14/1931,-0.005637035
09/15/1931,0.007446375
09/16/1931,-0.001342698
09/17/1931,0.008424285
09/18/1931,-0.018721251
09/19/1931,0.002369942
09/21/1931,-0.013063955
09/22/1931,-0.004717711
09/23/1931,-0.002785992
09/24/1931,-0.016062735
09/25/1931,-0.008390045
09/26/1931,0.000736272
09/28/1931,0.004086558
09/29/1931,-0.008603272
09/30/1931,-0.003943271
10/01/1931,-0.010766175
10/02/1931,-0.017090117
10/03/1931,-0.001253214
10/05/1931,-0.013749207
10/06/1931,-0.005158725
10/07/1931,-0.018391839
10/08/1931,-0.01710332
10/09/1931,-0.002254381
10/10/1931,-0.002847648
10/12/1931,0
10/13/1931,0.003390908
10/14/1931,0.017485762
10/15/1931,-0.000489226
10/16/1931,0.000944394
10/17/1931,0.004652768
10/19/1931,0.000854005
10/20/1931,-0.007531882
10/21/1931,0.00412478
10/22/1931,0.011345121
10/23/1931,-0.015920625
10/24/1931,-0.00340048
10/26/1931,0.009951408
10/27/1931,0.002166966
10/28/1931,0.002088794
10/29/1931,0.001009282
10/30/1931,-0.001474257
10/31/1931,0.005224023
11/02/1931,-0.005678094
11/03/1931,0
11/04/1931,-0.00688156
11/05/1931,0.004206326
11/06/1931,-0.013569707
11/07/1931,-0.014601963
11/09/1931,-0.000989232
11/10/1931,0.014206727
11/11/1931,0.011330884
11/12/1931,-0.001967349
11/13/1931,0.013450569
11/14/1931,0.005445923
11/16/1931,-0.011987027
11/17/1931,-0.005407189
11/18/1931,0.01458517
11/19/1931,0.001349414
11/20/1931,0.001539878
11/21/1931,0.008199846
11/23/1931,0.010637702
11/24/1931,-0.006790494
11/25/1931,0.003051058
11/26/1931,0
11/27/1931,0.000555145
11/28/1931,-0.011622342
11/30/1931,-0.001565461
12/01/1931,0.016333173
12/02/1931,0.020580404
12/03/1931,-0.007904773
12/04/1931,0.004409125
12/05/1931,0.006575467
12/07/1931,-0.013422701
12/08/1931,0.003445489
12/09/1931,-0.007854417
12/10/1931,-0.003670511
12/11/1931,-0.006951845
12/12/1931,-0.004381675
12/14/1931,-0.005302597
12/15/1931,-0.018421122
12/16/1931,-0.007367601
12/17/1931,-0.014960564
12/18/1931,-0.02472779
12/19/1931,0.019835563
12/21/1931,-0.002275339
12/22/1931,0.006416706
12/23/1931,0.002857292
12/24/1931,0.007350145
12/25/1931,0
12/28/1931,0.009671078
12/29/1931,-0.007914999
12/30/1931,-0.003190882
12/31/1931,-0.000604008
01/01/1932,0
01/02/1932,-0.001475787
01/04/1932,-0.000865925
01/05/1932,-0.009345116
01/06/1932,-0.006315035
01/07/1932,-0.032192151
01/08/1932,-0.000510745
01/09/1932,-0.002843106
01/11/1932,-0.020309713
01/12/1932,0.008904979
01/13/1932,-0.005891863
01/14/1932,-0.017841972
01/15/1932,-0.000807636
01/16/1932,0.014110145
01/18/1932,0.00036554
01/19/1932,0.009413447
01/20/1932,-0.007204993
01/21/1932,-0.02169228
01/22/1932,0.020823586
01/23/1932,0.013923807
01/25/1932,-0.019372182
01/26/1932,-0.004973254
01/27/1932,0.010601842
01/28/1932,0.034611881
01/29/1932,-0.023645986
01/30/1932,0.034796618
02/01/1932,-0.024613577
02/02/1932,0.027721548
02/03/1932,-0.02179003
02/04/1932,0.034008113
02/05/1932,-0.002331619
02/06/1932,0.000127261
02/08/1932,0.004594571
02/09/1932,-0.001531839
02/10/1932,-0.006172637
02/11/1932,-0.011054867
02/12/1932,0
02/13/1932,-0.016031408
02/15/1932,0.016377175
02/16/1932,-0.003592013
02/17/1932,-0.001734496
02/18/1932,-1.10139E-05
02/19/1932,-0.013318192
02/20/1932,0.021881789
02/22/1932,0
02/23/1932,0.011941634
02/24/1932,-0.00790577
