Date,U.S. Large Cap,U.S. Small Cap
12/31/1994,0.015702,0.032376
1/31/1995,0.011623,-0.014305
2/28/1995,0.038323,0.037287
3/31/1995,0.042323,0.029299
4/30/1995,0.03846,0.022718
5/31/1995,0.032985,0.020011
6/30/1995,0.038782,0.071522
7/31/1995,0.042459,0.091676
8/31/1995,0.003727,0.027041
9/30/1995,0.052831,0.031252
10/31/1995,0.004369,-0.047922
11/30/1995,0.024134,0.056988
12/31/1995,-0.0078,0.030649
1/31/1996,0.039749,-0.005783
2/29/1996,0.027498,0.0404
3/31/1996,0.004469,0.019848
4/30/1996,0.009527,0.080157
5/31/1996,0.03773,0.050578
6/30/1996,0.00357,-0.047902
7/31/1996,-0.057705,-0.113097
8/31/1996,0.03345,0.078067
9/30/1996,0.063765,0.054402
10/31/1996,0.025179,-0.026546
11/30/1996,0.063891,0.021801
12/31/1996,-0.018612,0.031795
1/31/1997,0.080726,0.023032
2/28/1997,-0.013348,-0.048955
3/31/1997,-0.051716,-0.047601
4/30/1997,0.082906,-0.005564
5/31/1997,0.05748,0.122324
6/30/1997,0.051374,0.063077
7/31/1997,0.103964,0.070076
8/31/1997,-0.060366,0.030963
9/30/1997,0.059104,0.08008
10/31/1997,-0.037554,-0.049282
11/30/1997,0.035399,-0.010284
12/31/1997,0.015582,0.012272
1/31/1998,0.018911,-0.014902
2/28/1998,0.072091,0.08071
3/31/1998,0.057529,0.047916
4/30/1998,0.024062,0.016244
5/31/1998,-0.014951,-0.064647
6/30/1998,0.075871,0.02108
7/31/1998,0.003424,-0.063048
8/31/1998,-0.166231,-0.204479
9/30/1998,0.067267,0.063769
10/31/1998,0.065985,0.034289
11/30/1998,0.065002,0.063083
12/31/1998,0.103507,0.070388
1/31/1999,0.060782,0.020279
2/28/1999,-0.043212,-0.078592
3/31/1999,0.042395,0.010937
4/30/1999,0.000651,0.057191
5/31/1999,-0.027646,0.015394
6/30/1999,0.07387,0.081815
7/31/1999,-0.021545,-0.013176
8/31/1999,0.000623,-0.026153
9/30/1999,-0.010342,0.015898
10/31/1999,0.077282,0.019425
11/30/1999,0.059633,0.115154
12/31/1999,0.168494,0.177326
1/31/2000,-0.060801,0.008872
2/29/2000,0.090379,0.270275
3/31/2000,0.081317,-0.065215
4/30/2000,-0.084867,-0.187595
5/31/2000,-0.116997,-0.110673
6/30/2000,0.146837,0.22971
7/31/2000,-0.01427,-0.076997
8/31/2000,0.132236,0.127985
9/30/2000,-0.109912,-0.043548
10/31/2000,-0.070232,-0.076957
11/30/2000,-0.203755,-0.162269
12/31/2000,-0.023569,0.071893
1/31/2001,-0.052455,0.029309
2/28/2001,-0.067351,-0.064759
3/31/2001,-0.067558,-0.040969
4/30/2001,0.048557,0.066826
5/31/2001,0.029692,0.033025
6/30/2001,-0.013782,0.047905
7/31/2001,0.003899,-0.016499
8/31/2001,-0.034472,-0.029948
9/30/2001,-0.068567,-0.10823
10/31/2001,0.001714,0.05569
11/30/2001,0.072045,0.079206
12/31/2001,0.036309,0.059236
1/31/2002,-0.013111,0.010605
2/28/2002,-0.026031,-0.032389
3/31/2002,0.050961,0.080918
4/30/2002,0.002267,0.012252
5/31/2002,-0.002325,-0.032826
6/30/2002,-0.050535,-0.026887
7/31/2002,-0.059167,-0.134179
8/31/2002,0.017965,0.007293
9/30/2002,-0.059873,-0.049696
10/31/2002,0.046604,0.037705
11/30/2002,0.01727,0.053398
12/31/2002,-0.025407,-0.036394
1/31/2003,-0.0249,-0.013963
2/28/2003,-0.011218,-0.018906
3/31/2003,0.010942,0.026061
4/30/2003,0.050795,0.072413
5/31/2003,0.049296,0.073572
6/30/2003,0.01663,0.029427
7/31/2003,0.017179,0.07849
8/31/2003,0.019699,0.045342
9/30/2003,-0.000387,-0.012244
10/31/2003,0.096527,0.103523
11/30/2003,0.019493,0.033307
12/31/2003,0.025651,-0.00454
1/31/2004,0.02603,0.07477
2/29/2004,0.004961,-0.009025
3/31/2004,-0.00419,-0.00399
4/30/2004,-0.054714,-0.076139
5/31/2004,0.030455,0.019254
6/30/2004,0.024996,0.030823
7/31/2004,-0.06711,-0.081081
8/31/2004,-0.007947,-0.024276
9/30/2004,0.050823,0.062172
10/31/2004,0.014835,0.011431
11/30/2004,0.063353,0.09954
12/31/2004,0.023004,0.028122
1/31/2005,-0.027548,-0.026622
2/28/2005,0.039689,0.031491
3/31/2005,-0.010442,-0.038818
4/30/2005,-0.036706,-0.059081
5/31/2005,0.035286,0.068222
6/30/2005,0.024868,0.045172
7/31/2005,0.047837,0.064096
8/31/2005,0.003655,-0.015608
9/30/2005,0.027001,0.016645
10/31/2005,-0.028578,-0.028434
11/30/2005,0.039937,0.05224
12/31/2005,0.010431,-0.001358
1/31/2006,0.057606,0.107001
2/28/2006,-0.020208,-0.013617
3/31/2006,0.022834,0.04707
4/30/2006,0.00879,0.007013
5/31/2006,-0.046883,-0.073419
6/30/2006,0.002681,0.0022
7/31/2006,-0.024789,-0.048564
8/31/2006,0.007586,0.015901
9/30/2006,0.018678,0.007775
10/31/2006,0.045645,0.060127
11/30/2006,0.022637,0.023716
12/31/2006,0.004679,0.001575
1/31/2007,0.028083,0.022201
2/28/2007,-0.02056,-0.013237
3/31/2007,0.02542,0.009177
4/30/2007,0.036248,0.023327
5/31/2007,0.030826,0.030624
6/30/2007,-0.025548,-0.018795
7/31/2007,-0.020172,-0.0602
8/31/2007,0.014981,0.018057
9/30/2007,0.052396,0.030332
10/31/2007,0.035339,0.040962
11/30/2007,-0.045494,-0.083144
12/31/2007,0.025329,0.008626
1/31/2008,-0.10183,-0.10408
2/29/2008,-0.001397,-0.021908
3/31/2008,-0.008035,-0.003745
4/30/2008,0.064542,0.037373
5/31/2008,0.037326,0.050514
6/30/2008,-0.037686,-0.05624
7/31/2008,-0.036371,0.041864
8/31/2008,0.000283,0.018413
9/30/2008,-0.111999,-0.069995
10/31/2008,-0.159139,-0.191273
11/30/2008,-0.081456,-0.115157
12/31/2008,0.007742,0.044028
1/31/2009,-0.077292,-0.1266
2/28/2009,-0.096809,-0.123221
3/31/2009,0.053409,0.077992
4/30/2009,0.018479,0.086756
5/1/2009,0.025685,0.012823
6/1/2009,0.020519,0.035831
7/1/2009,0.066541,0.087685
8/1/2009,0.022802,0.001266
9/1/2009,0.0272972,0.04197492
10/1/2009,-0.01447426,-0.08358197
11/1/2009,0.06106998,0.02579214
12/1/2009,0.04660109,0.0862759
1/1/2010,-0.06779043,-0.04104393
