Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CPUSAM,United States BLS Consumer Price Index Inflation Rate NSA,Consumer Price Indices,United States Dollar,United States,,,,OTC QX Market,,,Index Number,Units,Stock,none,Annual From Dec 1789 To Dec 1874<BR>Monthly From Jan 1875 To Jan 2019<BR>,"Sources: U.S. Government, Statistical Abstract of the United States (1820-1874), Carl Snyder, ""A New Index of the General Price Level from 1875,"" Journal of the American Statistical Association (June 1924); Bureau of Labor Statistics (1913-). See also David, Paul A. and Solar, Peter, ""A Bicentenary Contribution to the History of the Cost of Living in America,"" Research in Economic History (1977), pp. 1-80.<br />Notes: This index is based a combination of four indices. David and Solar are used from 1789 to 1820. From 1820 through 1874, the annual cost-of-living index calculated by the Federal Reserve Bank is used. From 1875 until 1912, it uses a monthly Index of General Prices calculated by the Federal Reserve Bank of New York, which was weighted between wholesale commodity prices (20%) Wage payments (35%), the Cost of Living (35%) and Rents (10%). From 1913 on, the Bureau of Labor's Consumer Price Index is used. For information on how the prices of individual goods have changed, see Scott Derks, ed., The Value of a Dollar, Lakeville, CT: Grey House Publishing, 1999.<br />The Consumer Price Index (CPI), 1982-84=100, is calculated on the basis of a market basket of 305 entry level items representing all goods and services purchased for everyday living by all residents in urban areas. These residents include about 87 percent of the total civilian noninstitutional population, including wage earners and clerical workers, professional, managerial, and technical workers, short-term workers, the self-employed, the unemployed, retirees, and others not in the labor force. <br />For most item categories, representing approximately 61 percent of the total expenditure weight, basic indexes are compiled using a geometric mean formula. For the remaining item categories, basis indexes are computed using a modified Laspeyres methodology<br />Each month 80,000 price quotations are obtained from approximately 23,000 outlets. About 50,000 housing units are contacted to collected data on rents. Prices are usually collected during the first 18 working days (Monday-Friday) of the month. Food, rent, utilities, and some other items are priced monthly in all urban areas. Most other items are priced monthly in three large urban areas, and every second month in other areas. Most pricing is conducted by personal interview; some pricing takes place by telephone. The prices include any applicable taxes, discounts and rebates. <br />The weights for the CPI are derived from the Consumer Expenditure Surveys for 1993-95, and the average for those 3 years. Historically weights have been revised once every 10 years; however, starting in 2002, weights will be revised every other year. Seasonally adjusted indices are also published.",
Date,Ticker,Open,High,Low,Close
12/31/1789,CPUSAM,,,,4.677379
12/31/1790,CPUSAM,,,,4.8526438
12/31/1791,CPUSAM,,,,4.9840924
12/31/1792,CPUSAM,,,,5.0772018
12/31/1793,CPUSAM,,,,5.2524666
12/31/1794,CPUSAM,,,,5.8275542
12/31/1795,CPUSAM,,,,6.665539
12/31/1796,CPUSAM,,,,7.0160686
12/31/1797,CPUSAM,,,,6.7531714
12/31/1798,CPUSAM,,,,6.5286134
12/31/1799,CPUSAM,,,,6.5286134
12/31/1800,CPUSAM,,,,6.665539
12/31/1801,CPUSAM,,,,6.7531714
12/31/1802,CPUSAM,,,,5.6906286
12/31/1803,CPUSAM,,,,6.002819
12/31/1804,CPUSAM,,,,6.2657162
12/31/1805,CPUSAM,,,,6.2219
12/31/1806,CPUSAM,,,,6.4847972
12/31/1807,CPUSAM,,,,6.1342676
12/31/1808,CPUSAM,,,,6.665539
12/31/1809,CPUSAM,,,,6.5286134
12/31/1810,CPUSAM,,,,6.5286134
12/31/1811,CPUSAM,,,,6.9722524
12/31/1812,CPUSAM,,,,7.0598848
12/31/1813,CPUSAM,,,,8.4729571
12/31/1814,CPUSAM,,,,9.3109419
12/31/1815,CPUSAM,,,,8.1662437
12/31/1816,CPUSAM,,,,7.4597076
12/31/1817,CPUSAM,,,,7.0598848
12/31/1818,CPUSAM,,,,6.7531714
12/31/1819,CPUSAM,,,,6.7531714
12/31/1820,CPUSAM,,,,6.2219
12/31/1821,CPUSAM,,,,5.9347
12/31/1822,CPUSAM,,,,6.1261
12/31/1823,CPUSAM,,,,5.839
12/31/1824,CPUSAM,,,,5.4561
12/31/1825,CPUSAM,,,,5.5518
12/31/1826,CPUSAM,,,,5.2647
12/31/1827,CPUSAM,,,,5.4561
12/31/1828,CPUSAM,,,,5.4561
12/31/1829,CPUSAM,,,,5.5518
12/31/1830,CPUSAM,,,,5.1689
12/31/1831,CPUSAM,,,,5.3604
12/31/1832,CPUSAM,,,,5.4561
12/31/1833,CPUSAM,,,,5.5518
12/31/1834,CPUSAM,,,,4.8818
12/31/1835,CPUSAM,,,,5.7433
12/31/1836,CPUSAM,,,,6.509
12/31/1837,CPUSAM,,,,6.8919
12/31/1838,CPUSAM,,,,6.7962
12/31/1839,CPUSAM,,,,6.7962
12/31/1840,CPUSAM,,,,5.7433
12/31/1841,CPUSAM,,,,5.7433
12/31/1842,CPUSAM,,,,5.2647
12/31/1843,CPUSAM,,,,4.8818
12/31/1844,CPUSAM,,,,4.9775
12/31/1845,CPUSAM,,,,5.1689
12/31/1846,CPUSAM,,,,5.5518
12/31/1847,CPUSAM,,,,5.5518
12/31/1848,CPUSAM,,,,4.8818
12/31/1849,CPUSAM,,,,5.1689
12/31/1850,CPUSAM,,,,4.8818
12/31/1851,CPUSAM,,,,5.7433
12/31/1852,CPUSAM,,,,5.7433
12/31/1853,CPUSAM,,,,6.1261
12/31/1854,CPUSAM,,,,6.1261
12/31/1855,CPUSAM,,,,6.4133
12/31/1856,CPUSAM,,,,6.509
12/31/1857,CPUSAM,,,,6.7005
