,ret
1835-08-31,0.0
1835-09-30,0.0
1835-10-31,0.0
1835-11-30,0.0
1835-12-31,0.0
1836-01-31,0.0
1836-02-29,0.0
1836-03-31,0.0
1836-04-30,0.0
1836-05-31,0.0
1836-06-30,0.0
1836-07-31,0.0
1836-08-31,0.0013084417747171316
1836-09-30,0.01189001428751757
1836-10-31,-0.010094303971904814
1836-11-30,-1.5894279447907056e-05
1836-12-31,-0.0048677921665548985
1837-01-31,-0.017381793200491106
1837-02-28,0.02026281109462218
1837-03-31,0.007756097249933424
1837-04-30,0.012456744787229024
1837-05-31,0.001944516412307287
1837-06-30,0.008662726784470536
1837-07-31,-0.019722944192822382
1837-08-31,0.024999486316230963
1837-09-30,-0.03433318335464647
1837-10-31,-0.004558946278346188
1837-11-30,-0.019963350424105714
1837-12-31,-0.014837786432989088
1838-01-31,-0.0019654797667996065
1838-02-28,-7.995797855013599e-05
1838-03-31,0.0021713750919773473
1838-04-30,-0.006872400665821973
1838-05-31,-0.01595563443024261
1838-06-30,-0.016967331303822955
1838-07-31,-0.00895965344842986
1838-08-31,0.005149388658306079
1838-09-30,-0.003525560201573753
1838-10-31,0.13404151732298877
1838-11-30,-0.01499045716439386
1838-12-31,0.02843049471592369
1839-01-31,0.0026531113822078145
1839-02-28,0.005705540015093935
1839-03-31,0.0035599588292820742
1839-04-30,0.01106138312860587
1839-05-31,-0.003646851426232177
1839-06-30,0.0003134366424677724
1839-07-31,-0.003787602380300794
1839-08-31,0.004544051606350414
1839-09-30,-0.004590116340197941
1839-10-31,-0.005988734148070484
1839-11-30,0.004243875040626912
1839-12-31,-0.06862582586293084
1840-01-31,0.04813535126608653
1840-02-29,0.037816662592997936
1840-03-31,-0.003987328262962494
1840-04-30,0.008759576270295956
1840-05-31,0.03525559750159895
1840-06-30,-0.0033430840949681723
1840-07-31,0.015434471268963641
1840-08-31,0.020636730830623513
1840-09-30,-0.008005691394415334
1840-10-31,-0.019304028173958238
1840-11-30,0.005285242587847705
1840-12-31,0.0013217929016772054
1841-01-31,0.003964143990141019
1841-02-28,0.00918386992369148
1841-03-31,0.0024730259330144957
1841-04-30,-0.009549120117185391
1841-05-31,-0.00011399048245900158
1841-06-30,0.005243644045961256
1841-07-31,0.024320976763478278
1841-08-31,-0.005102316360506768
1841-09-30,-0.010635491594317878
1841-10-31,0.00634810840305103
1841-11-30,-0.007685792867677163
1841-12-31,0.0038445954241104006
1842-01-31,0.02084412714118298
1842-02-28,-0.019388373437419067
1842-03-31,0.00285323698821964
1842-04-30,-0.017408315509087037
1842-05-31,0.04924508870176097
1842-06-30,-0.003618380754962996
1842-07-31,0.0115423048924188
1842-08-31,0.009331366989765576
1842-09-30,0.0017816715075933134
1842-10-31,-0.007054989197913382
1842-11-30,0.0002804380417569507
1842-12-31,0.012620529426801532
1843-01-31,0.0850061289317509
1843-02-28,0.032852102342859874
1843-03-31,0.03518988023553369
1843-04-30,0.02086614937165549
1843-05-31,0.01202452745945029
1843-06-30,0.0065456821993939915
1843-07-31,0.030667062384795954
1843-08-31,0.006956563286504112
1843-09-30,-0.004782094878436597
1843-10-31,0.004515055004349803
1843-11-30,0.019230881839608048
1843-12-31,-0.013541008605339428
1844-01-31,0.04905492642244715
1844-02-29,0.016453671396838468
1844-03-31,0.0056942440514251725
1844-04-30,0.009222779673236453
1844-05-31,0.015375431540520502
1844-06-30,0.011552938246195958
1844-07-31,0.0007483341282527624
1844-08-31,-0.016762842005601217
1844-09-30,-0.012577872448554517
1844-10-31,0.004574579041443516
1844-11-30,-0.008072407219362265
1844-12-31,-0.00646789552314344
1845-01-31,0.03719922278020289
1845-02-28,0.005229827040502428
1845-03-31,0.01942977695029131
1845-04-30,-0.003789421031367454
1845-05-31,-0.003748961491866808
1845-06-30,-0.020549262178456113
1845-07-31,0.011124686144357628
1845-08-31,-0.006425679227034867
1845-09-30,-0.0016844112348440967
1845-10-31,-0.0045893670032508185
1845-11-30,-0.009120915435449139
1845-12-31,-0.012763158716233104
1846-01-31,0.006222695295342628
1846-02-28,0.010712307895397965
1846-03-31,-0.018822990136182258
1846-04-30,-0.02653162136452315
1846-05-31,0.009862295437338128
1846-06-30,0.005126587327796739
1846-07-31,0.00027425819473692395
1846-08-31,-0.020527256421356374
1846-09-30,-0.007559274503123634
1846-10-31,-0.01337188332283985
1846-11-30,-0.003537259639012515
1846-12-31,-0.0197105190190402
1847-01-31,0.061304459522821986
1847-02-28,0.0029279893176016414
1847-03-31,-0.002797215998293838
1847-04-30,0.017745111707721917
1847-05-31,-0.009047490567944653
1847-06-30,0.018727114324273108
1847-07-31,-0.0026970093169289737
1847-08-31,0.001912282502072083
1847-09-30,-0.009864598129331477
1847-10-31,-0.018688478962003815
1847-11-30,-0.006685667813564691
1847-12-31,-0.01005539731177384
1848-01-31,0.003074712059070031
1848-02-29,0.01731918452700289
1848-03-31,-0.08770505654591276
1848-04-30,-0.07311846924052384
1848-05-31,-0.02137240734145689
1848-06-30,-0.007010896858112682
1848-07-31,0.020841732093246954
1848-08-31,0.04680506320725312
1848-09-30,0.024867341993761085
1848-10-31,-0.011743438225510033
1848-11-30,0.014142298722871965
1848-12-31,-0.000626298869271724
1849-01-31,0.05354798963308812
1849-02-28,0.00990357138134098
1849-03-31,-0.025126465096536283
1849-04-30,0.0009800802092664214
1849-05-31,0.012337850957971266
1849-06-30,0.031144151031168493
1849-07-31,0.04611817433227261
1849-08-31,-0.008848742097639202
1849-09-30,0.01231494017617913
1849-10-31,0.028730003304405394
1849-11-30,0.014471016925325222
